game_id,winner,loser,num_penalties
198002120NYI,WIN,WIN,3
198001060WIN,LAK,LAK,2
197912010MNS,WIN,WIN,0
198003140WIN,MTL,WIN,1
197912160EDM,WIN,EDM,5
197912120QUE,QUE,WIN,0
198003020WIN,CBH,WIN,0
198001220WSH,WSH,WIN,2
198003230WIN,PIT,WIN,1
198001290LAK,WIN,LAK,3
197910110BOS,BOS,WIN,0
198003210WIN,WIN,NYR,5
198002010EDM,EDM,WIN,2
198001210HAR,HAR,WIN,2
198002140PHI,PHI,WIN,4
197912290TOR,TOR,WIN,1
198001270WIN,STL,STL,1
197911020WIN,WSH,WSH,3
197910140WIN,WIN,CLR,2
197910260WIN,WIN,BOS,12
198001130WIN,WIN,LAK,1
197912090WIN,ATF,WIN,3
197911070WSH,WSH,WIN,1
197912210WIN,WIN,CBH,2
197912150WIN,WIN,MTL,4
198001080ATF,ATF,WIN,0
197911140WIN,WIN,HAR,2
197911280VAN,VAN,WIN,0
198003260WIN,WIN,HAR,2
197912310BUF,BUF,WIN,4
198004060WIN,WIN,CLR,4
197912070WIN,WIN,EDM,0
197910100PIT,PIT,WIN,0
198002020CLR,WIN,WIN,0
198001040WIN,BOS,WIN,1
198003090WIN,ATF,WIN,0
197912190WIN,BUF,WIN,3
198001250WIN,PHI,WIN,0
197911210NYR,WIN,NYR,1
198003300BOS,BOS,WIN,0
198002150HAR,HAR,WIN,2
197910310QUE,WIN,QUE,5
198003040VAN,VAN,WIN,2
197911040WIN,NYI,NYI,2
197911180WIN,PIT,WIN,0
198003190TOR,TOR,WIN,2
198002270PIT,PIT,WIN,4
197912020WIN,NYI,WIN,2
198001120WIN,NYR,WIN,4
197912280WIN,PHI,WIN,2
197910200CLR,CLR,WIN,7
197912260MNS,MNS,WIN,2
197911060ATF,ATF,WIN,16
197912050DET,DET,WIN,3
197911270LAK,LAK,WIN,1
197910280WIN,STL,STL,4
198002100WIN,EDM,EDM,3
198002170WIN,WIN,QUE,1
198002080WIN,WSH,WIN,8
197911220MTL,MTL,WIN,0
197911160WIN,QUE,WIN,0
198003120WIN,BUF,BUF,0
197911100WIN,TOR,WIN,0
198002290WIN,VAN,VAN,11
198004050STL,STL,WIN,0
198001100PHI,PHI,WIN,1
198003280WIN,MNS,WIN,6
198004020CBH,WIN,CBH,2
197912040STL,WIN,STL,1
197910190WIN,WIN,MNS,7
197910170WIN,DET,WIN,3
198003160DET,WIN,DET,5
197911240WIN,WIN,VAN,7
198002230WIN,TOR,WIN,0
198001150NYI,NYI,WIN,0
198002200BUF,BUF,WIN,0
197910240CBH,CBH,WIN,4
198001180WIN,DET,WIN,9
198002210MTL,MTL,WIN,2
198001160NYR,NYR,WIN,0
