game_id,winner,loser,num_penalties
198002090NYI,NYI,QUE,9
197910280QUE,QUE,MTL,2
198003120QUE,EDM,QUE,1
197912120QUE,QUE,WIN,0
197910210CBH,QUE,CBH,4
197911040QUE,QUE,DET,0
198002060QUE,CBH,CBH,6
198003290DET,DET,QUE,1
197911250QUE,WSH,WSH,0
198001200QUE,QUE,WSH,0
197912190QUE,QUE,CLR,6
197911020ATF,QUE,QUE,2
198001270QUE,DET,QUE,3
198001050TOR,QUE,TOR,2
197912160QUE,QUE,PIT,0
197912040QUE,CLR,QUE,0
198001160QUE,BOS,QUE,4
197912300EDM,QUE,EDM,2
198001090QUE,QUE,EDM,1
197911270STL,STL,QUE,0
198003200CLR,QUE,CLR,6
198001020QUE,NYR,NYR,0
198001110ATF,ATF,QUE,2
198002180MNS,MNS,QUE,2
197912060QUE,QUE,STL,2
198002030QUE,QUE,NYR,8
197911240HAR,QUE,QUE,0
198003080TOR,TOR,QUE,1
198001260WSH,QUE,QUE,2
198002140MTL,MTL,QUE,3
197910270QUE,BUF,QUE,5
198001120STL,STL,QUE,0
198003190CBH,CBH,QUE,0
198004030BUF,BUF,QUE,2
197912090QUE,QUE,LAK,0
197911100NYR,NYR,QUE,4
197912290VAN,VAN,QUE,0
197910310QUE,WIN,QUE,5
198003230VAN,QUE,VAN,9
197911280PIT,PIT,QUE,2
198002240QUE,QUE,PIT,0
198002020BOS,BOS,QUE,10
197911180QUE,QUE,TOR,0
197912230BUF,QUE,BUF,0
197911200QUE,BOS,QUE,4
198003220LAK,LAK,QUE,5
198001230QUE,QUE,MNS,2
197912150DET,QUE,QUE,4
197910100QUE,ATF,QUE,2
197910180CLR,QUE,CLR,2
198003020QUE,LAK,QUE,3
197910240QUE,HAR,HAR,4
198004010QUE,PHI,PHI,0
198003270PHI,PHI,QUE,10
198002170WIN,WIN,QUE,1
198003090QUE,QUE,TOR,8
197911160WIN,QUE,WIN,0
198002260QUE,QUE,HAR,0
198003050QUE,MNS,MNS,1
198003260QUE,CBH,QUE,1
197910190EDM,EDM,QUE,4
198004060QUE,MTL,MTL,0
197912010WSH,WSH,QUE,4
197910130MTL,MTL,QUE,0
197912020QUE,QUE,VAN,0
198003160QUE,VAN,QUE,2
197912130PHI,PHI,QUE,3
198002230PIT,PIT,QUE,0
198003300QUE,NYI,QUE,0
198001300QUE,ATF,QUE,2
197911140MNS,MNS,QUE,5
198002190QUE,BUF,QUE,5
197911220BOS,BOS,QUE,9
197912270LAK,LAK,QUE,0
197911070QUE,PHI,QUE,2
198002100NYR,NYR,QUE,2
198004040HAR,HAR,QUE,0
198001190NYI,NYI,QUE,1
198002270QUE,NYI,QUE,3
197911110QUE,QUE,STL,4
