game_id,winner,loser,num_penalties
198004090NYI,LAK,NYI,8
198005080BUF,BUF,NYI,8
198004220BOS,NYI,BOS,7
198005240NYI,NYI,PHI,12
198005060NYI,BUF,NYI,1
198005190NYI,NYI,PHI,2
198005030NYI,NYI,BUF,5
198004120LAK,NYI,LAK,5
198004080NYI,NYI,LAK,3
198004190NYI,NYI,BOS,11
198004210NYI,BOS,NYI,4
198005150PHI,PHI,NYI,4
198004170BOS,NYI,BOS,16
198005170NYI,NYI,PHI,13
198004290BUF,NYI,BUF,0
198005130PHI,NYI,PHI,2
198005220PHI,PHI,NYI,3
198004160BOS,NYI,BOS,0
198004110LAK,NYI,LAK,6
198005100NYI,NYI,BUF,3
198005010BUF,NYI,BUF,2
