game_id,winner,loser,num_penalties
197911240STL,STL,CLR,2
197910110CLR,STL,STL,0
197912220STL,ATF,STL,6
197911070STL,TOR,STL,0
198002140LAK,STL,LAK,2
198003030STL,STL,PIT,2
198002090STL,STL,BUF,0
198001080STL,STL,LAK,2
198003220STL,STL,WSH,4
198001270WIN,STL,STL,1
198001260STL,CLR,CLR,2
197912260STL,CBH,CBH,0
197912080STL,STL,WSH,4
197910170STL,VAN,STL,4
198003240HAR,STL,HAR,0
197910090VAN,STL,VAN,9
197910200STL,STL,BUF,0
197911270STL,STL,QUE,0
197910270STL,ATF,STL,1
198002290HAR,HAR,STL,0
198003180STL,BOS,BOS,2
197912150STL,MNS,STL,4
197911170STL,PHI,PHI,2
198001150STL,STL,MNS,0
197912060QUE,QUE,STL,2
198003080STL,DET,DET,0
197912270DET,STL,DET,5
198003010STL,HAR,STL,3
198001120STL,STL,QUE,0
198001030STL,STL,VAN,5
197910300STL,STL,EDM,2
198001050NYI,NYI,STL,0
198002260STL,STL,TOR,2
197912290STL,STL,HAR,0
198001220STL,PHI,STL,6
198001160MNS,MNS,STL,2
198002020STL,DET,STL,3
198003090BUF,BUF,STL,0
198003120TOR,STL,TOR,2
197911100MTL,STL,MTL,0
198002060EDM,STL,EDM,11
197911250CBH,CBH,STL,2
197911130STL,MTL,STL,2
198004010STL,STL,CBH,4
197910280WIN,STL,STL,4
197911180NYR,NYR,STL,2
198003150NYI,NYI,STL,1
197911290MTL,MTL,STL,6
198003290STL,NYR,STL,0
198001300PIT,STL,PIT,0
198003160NYR,NYR,STL,4
197911010PHI,PHI,STL,2
197912110STL,PIT,PIT,0
197910240MNS,MNS,STL,3
198002170EDM,STL,STL,2
198001190CLR,STL,CLR,2
198004050STL,STL,WIN,0
197911210PIT,PIT,STL,2
198001130PHI,STL,STL,2
198003200ATF,ATF,STL,4
198003270BOS,BOS,STL,4
197911030STL,STL,LAK,0
198001290STL,STL,EDM,9
198004060CBH,STL,CBH,3
198001100BOS,STL,BOS,8
197912210ATF,STL,ATF,0
197912040STL,WIN,STL,1
197911200STL,STL,NYI,6
198003050WSH,WSH,STL,0
198003260WSH,WSH,STL,2
198002190VAN,STL,VAN,6
197910230STL,BOS,BOS,0
198002030DET,STL,DET,0
197911140TOR,TOR,STL,0
197910130LAK,LAK,STL,10
198002230STL,NYI,STL,6
198002110BUF,BUF,STL,2
197912180STL,STL,MTL,4
197912010STL,NYR,STL,0
197911110QUE,QUE,STL,4
