game_id,winner,loser,num_penalties
198211210BOS,BOS,CGY,2
198210230TOR,CGY,CGY,0
198303190BOS,CGY,CGY,4
198302240CGY,WSH,CGY,4
198212300CGY,PHI,CGY,5
198211180PHI,PHI,CGY,2
198212100WIN,CGY,WIN,4
198211090CGY,CGY,LAK,0
198211060CGY,NYR,NYR,0
198301220STL,CGY,STL,0
198303240CGY,CGY,CBH,0
198302260CGY,CGY,STL,7
198302220CGY,CGY,EDM,7
198210170WIN,CGY,CGY,0
198212120DET,DET,CGY,0
198211230CGY,CGY,WSH,5
198301060CGY,CGY,WIN,4
198301150QUE,QUE,CGY,0
198303100CGY,CGY,WIN,2
198304030EDM,CGY,CGY,0
198211200HAR,CGY,CGY,4
198303200HAR,CGY,CGY,0
198302160CBH,CBH,CGY,0
198303080LAK,LAK,CGY,2
198212280CGY,CGY,CBH,2
198212010LAK,LAK,CGY,2
198210050EDM,EDM,CGY,4
198211250CGY,QUE,CGY,3
198212040EDM,EDM,CGY,8
198210300PIT,CGY,PIT,0
198301200PHI,PHI,CGY,0
198301180MTL,MTL,CGY,0
198302270VAN,VAN,CGY,8
198212230VAN,CGY,VAN,6
198303290CGY,CGY,LAK,0
198303010CGY,CGY,VAN,8
198211010NJD,CGY,NJD,2
198301270CGY,CGY,TOR,0
198302010CGY,NYI,NYI,3
198302120CGY,CGY,BUF,4
198212160CGY,VAN,CGY,4
198302190TOR,TOR,CGY,7
198210120CGY,CGY,EDM,9
198303050CGY,LAK,LAK,0
198212030VAN,CGY,VAN,3
198212180CGY,MTL,CGY,2
198301130CGY,CGY,VAN,4
198211070WIN,WIN,CGY,0
198303160BUF,BUF,CGY,0
198302100CGY,QUE,QUE,5
198212210CGY,CGY,MNS,2
198212070CGY,LAK,LAK,4
198210260NYI,NYI,CGY,2
198210160MNS,MNS,CGY,2
198301250LAK,CGY,LAK,4
198211160WSH,WSH,CGY,2
198212260CGY,EDM,EDM,3
198301120VAN,CGY,VAN,7
198303260CGY,WIN,CGY,1
198210210CGY,HAR,CGY,6
198302180BUF,BUF,CGY,2
198211290MNS,CGY,CGY,0
198210270NYR,NYR,CGY,6
198302030CGY,CGY,MTL,0
198303310CGY,VAN,VAN,6
198303270WIN,CGY,WIN,2
198212090CGY,STL,CGY,2
198302050CGY,CGY,PIT,3
198210190CGY,BOS,CGY,0
198210140CGY,CGY,DET,5
198301290EDM,EDM,CGY,6
198303120CGY,NYR,CGY,0
198211130PIT,CGY,PIT,0
198303140NJD,CGY,NJD,0
198301040CGY,EDM,CGY,2
198211040CGY,CGY,WIN,1
198210090LAK,LAK,CGY,2
198211270CGY,NJD,CGY,6
198301080CGY,CGY,DET,0
198210070CGY,NYI,CGY,2
