game_id,winner,loser,num_penalties
198302010WSH,WSH,DET,2
198304010DET,DET,WSH,0
198302120DET,WIN,DET,2
198211280DET,EDM,DET,2
198303190EDM,EDM,DET,0
198211030DET,NYI,NYI,2
198210060DET,STL,DET,0
198211180LAK,LAK,DET,5
198302050DET,CBH,DET,0
198211130DET,CBH,DET,2
198212230DET,DET,PIT,2
198301090EDM,DET,EDM,1
198210090DET,WIN,DET,0
198212040DET,DET,NJD,2
198212120DET,DET,CGY,0
198302090HAR,DET,HAR,1
198212010DET,MNS,DET,2
198211020STL,STL,DET,2
198210280MNS,MNS,DET,8
198212210DET,STL,STL,2
198212110TOR,DET,TOR,4
198210270DET,DET,STL,0
198303010QUE,DET,DET,0
198302240NJD,NJD,DET,5
198211100TOR,TOR,DET,10
198211070BOS,BOS,DET,0
198210080MNS,DET,DET,2
198303030DET,DET,QUE,0
198303060BUF,BUF,DET,3
198301160CBH,CBH,DET,5
198210200DET,QUE,DET,2
198212180DET,NYR,NYR,2
198301050DET,WSH,DET,2
198302020DET,STL,DET,4
198301150DET,DET,TOR,4
198301020TOR,TOR,DET,0
198301250DET,DET,VAN,0
198211200STL,DET,DET,2
198210240PHI,PHI,DET,0
198211270MTL,DET,DET,0
198210230DET,DET,BUF,2
198304030WIN,WIN,DET,0
198303260DET,MNS,DET,5
198210160STL,STL,DET,1
198212150PIT,DET,DET,2
198211240DET,MTL,DET,1
198212310DET,DET,CBH,2
198302220DET,MNS,DET,0
198301290BOS,BOS,DET,0
198212290MNS,DET,DET,5
198210300HAR,DET,HAR,4
198212160PHI,PHI,DET,3
198303270CBH,CBH,DET,2
198303300DET,TOR,DET,6
198303100DET,DET,CBH,2
198212260BUF,DET,DET,3
198303160TOR,DET,TOR,0
198303200VAN,VAN,DET,4
198211160VAN,DET,DET,0
198302270DET,MTL,MTL,0
198212080DET,DET,NYI,0
198302060DET,DET,TOR,2
198302170DET,LAK,LAK,0
198301190MNS,MNS,DET,0
198211060DET,NJD,NJD,6
198302200DET,DET,HAR,2
198301220DET,BOS,DET,5
198303130DET,TOR,DET,4
198211210CBH,CBH,DET,3
198301030NYR,NYR,DET,2
198210140CGY,CGY,DET,5
198302260NYI,DET,NYI,2
198303120STL,STL,DET,0
198212270DET,PHI,DET,0
198303230DET,NYR,DET,0
198210170CBH,CBH,DET,0
198303050DET,MNS,DET,3
198301080CGY,CGY,DET,0
198301130DET,LAK,LAK,6
198302150PIT,DET,PIT,0
