game_id,winner,loser,num_penalties
198302030WSH,WSH,MNS,2
198212070WSH,WIN,WIN,2
198212020WSH,WSH,PIT,5
198302010WSH,WSH,DET,2
198304010DET,DET,WSH,0
198302060QUE,WSH,WSH,6
198302240CGY,WSH,CGY,4
198210090WSH,PHI,WSH,5
198303200PHI,WSH,PHI,0
198301060WSH,TOR,WSH,4
198302160NYR,NYR,WSH,0
198210200WSH,MTL,MTL,2
198301020QUE,WSH,QUE,4
198303160WSH,WSH,HAR,0
198212040WSH,WSH,CBH,0
198211050WSH,STL,WSH,7
198211210VAN,VAN,WSH,2
198211230CGY,CGY,WSH,5
198211130WSH,WSH,NYI,0
198210230WSH,MNS,WSH,2
198302180VAN,WSH,VAN,7
198303080NJD,WSH,NJD,2
198302230EDM,EDM,WSH,3
198301180WSH,WSH,PHI,3
198301050DET,WSH,DET,2
198212090NJD,WSH,NJD,1
198301260PIT,WSH,PIT,11
198211100WSH,WSH,NJD,2
198301110WSH,LAK,WSH,2
198303260WSH,PIT,PIT,6
198302050WSH,WSH,NJD,0
198304030WSH,WSH,NYR,0
198303030NYR,WSH,NYR,4
198211280WSH,NYI,NYI,1
198301280WSH,WSH,PIT,1
198210270PIT,PIT,WSH,2
198212280WSH,WSH,PIT,7
198211030CBH,WSH,WSH,4
198210100PHI,PHI,WSH,1
198210210NYI,NYI,WSH,0
198301140BUF,BUF,WSH,3
198211080NJD,WSH,WSH,7
198212190PHI,WSH,PHI,2
198301010WSH,NYR,WSH,9
198302100NYI,NYI,WSH,0
198303300WSH,NYI,WSH,10
198302260MTL,MTL,WSH,0
198303230WSH,VAN,VAN,3
198212230NYI,WSH,NYI,9
198301150WSH,BUF,WSH,6
198211160WSH,WSH,CGY,2
198303240WSH,WSH,NJD,0
198211190WIN,WSH,WSH,0
198211260WSH,WSH,TOR,4
198301190CBH,WSH,CBH,0
198301080STL,WSH,WSH,0
198210130TOR,WSH,TOR,2
198212260WSH,PHI,WSH,4
198210300STL,WSH,STL,2
198211240EDM,WSH,WSH,0
198212120WSH,WSH,BOS,0
198211070WSH,WSH,HAR,8
198212180PIT,WSH,PIT,5
198301290MTL,WSH,WSH,1
198303050WSH,WSH,PHI,3
198212300HAR,WSH,WSH,1
198302190LAK,WSH,WSH,12
198303170BOS,WSH,BOS,2
198303130WSH,WSH,BOS,10
198210160WSH,BUF,WSH,5
198303270NYR,NYR,WSH,0
198301230WSH,WSH,NJD,6
198212140WSH,WSH,LAK,1
198301210WSH,QUE,WSH,3
198210060NYR,WSH,NYR,1
198212100WSH,NYR,NYR,0
198303020WSH,EDM,WSH,3
198303120NYI,NYI,WSH,4
198302130WSH,WSH,WIN,0
198212160MNS,WSH,WSH,0
