game_id,winner,loser,num_penalties
198402010DET,HAR,HAR,2
198311260HAR,HAR,NYR,4
198402250HAR,HAR,PHI,9
198312270QUE,QUE,HAR,6
198312210BUF,HAR,BUF,0
198402070HAR,HAR,DET,0
198310250LAK,HAR,LAK,2
198401150VAN,VAN,HAR,6
198402190BUF,BUF,HAR,0
198312260HAR,MTL,HAR,7
198312080HAR,TOR,HAR,0
198311060PHI,PHI,HAR,0
198404010NYR,NYR,HAR,2
198311230HAR,MTL,HAR,2
198401030DET,DET,HAR,0
198401260HAR,WIN,HAR,1
198403310HAR,HAR,NYR,1
198312170HAR,BUF,HAR,3
198402160NJD,NJD,HAR,4
198311020HAR,HAR,NJD,6
198402040STL,HAR,STL,10
198401050HAR,HAR,NYI,2
198311190QUE,HAR,HAR,0
198311120HAR,HAR,CBH,5
198401240MTL,HAR,HAR,12
198311170HAR,QUE,HAR,3
198402050CBH,HAR,CBH,2
198403210EDM,EDM,HAR,0
198401210HAR,BOS,HAR,2
198311050HAR,HAR,LAK,4
198310130HAR,QUE,QUE,1
198402180TOR,HAR,TOR,1
198403150HAR,HAR,TOR,0
198401170HAR,NJD,NJD,1
198312060MTL,MTL,HAR,3
198312150BOS,BOS,HAR,6
198310050BUF,BUF,HAR,3
198401290HAR,QUE,QUE,1
198403290BOS,BOS,HAR,10
198312230HAR,HAR,MNS,3
198310080HAR,HAR,BOS,6
198312200HAR,BOS,HAR,7
198312040PHI,HAR,PHI,3
198310150PIT,HAR,PIT,2
198312130PIT,PIT,HAR,4
198403270HAR,HAR,BUF,4
198403030BOS,HAR,HAR,10
198402120HAR,HAR,EDM,6
198401080WIN,WIN,HAR,4
198403110BUF,BUF,HAR,0
198403130STL,STL,HAR,0
198403170HAR,PIT,HAR,2
198401070EDM,EDM,HAR,0
198403240QUE,HAR,QUE,5
198312300HAR,LAK,HAR,4
198310090BOS,BOS,HAR,6
198402260HAR,WSH,HAR,3
198310300CBH,CBH,HAR,2
198311080HAR,HAR,MNS,0
198310220HAR,BUF,HAR,0
198403080MTL,MTL,HAR,5
198403070WSH,WSH,HAR,0
198403250HAR,QUE,QUE,0
198311010MTL,MTL,HAR,4
198310280VAN,VAN,HAR,0
198401190HAR,MTL,HAR,4
198310190HAR,HAR,WSH,1
198401280QUE,QUE,HAR,2
198402140HAR,MTL,HAR,0
198401130CGY,HAR,HAR,0
198402230HAR,HAR,BUF,0
198403180HAR,HAR,NYI,0
198403200CGY,CGY,HAR,0
198312100HAR,WIN,WIN,0
198403040HAR,HAR,BOS,6
198401100MNS,HAR,MNS,5
198311150NYI,NYI,HAR,0
198312030HAR,HAR,STL,0
198311300HAR,VAN,HAR,1
198402110HAR,CGY,HAR,0
