game_id,winner,loser,num_penalties
198503050STL,STL,TOR,5
198412090CBH,CBH,TOR,13
198503200CGY,CGY,TOR,7
198410240TOR,TOR,DET,5
198412080STL,TOR,TOR,2
198503020TOR,TOR,NYI,6
198411030LAK,LAK,TOR,5
198501130VAN,TOR,VAN,3
198501270CBH,TOR,CBH,6
198502020TOR,MNS,TOR,2
198411300NYR,TOR,TOR,0
198503300TOR,DET,TOR,5
198504070BOS,BOS,TOR,2
198504030MNS,MNS,TOR,10
198412220TOR,TOR,BOS,5
198412010TOR,NYR,TOR,0
198411140TOR,LAK,TOR,5
198502010WSH,TOR,TOR,0
198410140WIN,WIN,TOR,8
198502170HAR,TOR,HAR,4
198503310NYR,NYR,TOR,4
198502090MTL,TOR,MTL,3
198411070TOR,VAN,VAN,1
198411170TOR,WIN,TOR,4
198503090NYI,NYI,TOR,0
198503240DET,TOR,DET,4
198501160LAK,TOR,LAK,6
198502140STL,STL,TOR,4
198501050TOR,VAN,TOR,0
198411050MNS,MNS,TOR,18
198410190NJD,NJD,TOR,4
198412050TOR,DET,TOR,4
198411240TOR,MNS,TOR,5
198503060TOR,DET,TOR,4
198410170TOR,HAR,TOR,4
198410270TOR,CGY,TOR,4
198502210PHI,PHI,TOR,2
198502190TOR,EDM,TOR,8
198412270NJD,NJD,TOR,4
198502270TOR,TOR,MNS,2
198502250TOR,CBH,TOR,3
198412150TOR,PIT,TOR,8
198502100TOR,TOR,MTL,6
198503160TOR,PHI,TOR,3
198503130TOR,CGY,TOR,9
198411230DET,DET,TOR,0
198501300PIT,TOR,PIT,2
198411270TOR,EDM,TOR,2
198412290TOR,CBH,TOR,0
198412120TOR,TOR,PHI,2
198503180TOR,TOR,STL,3
198410110MNS,TOR,MNS,4
198412040DET,DET,TOR,10
198502160TOR,NJD,TOR,0
198503140WSH,WSH,TOR,8
198410200TOR,TOR,QUE,11
198502060CBH,CBH,TOR,5
198502050TOR,WSH,TOR,0
198501240NYI,NYI,TOR,1
198501260TOR,CBH,TOR,2
198411110TOR,MNS,TOR,0
198412140WIN,WIN,TOR,2
198411190MTL,TOR,MTL,0
198501190TOR,TOR,STL,8
198501220QUE,TOR,TOR,10
198503220EDM,TOR,TOR,3
198412210CBH,CBH,TOR,1
198502230DET,TOR,DET,6
198501070TOR,HAR,TOR,5
198410130TOR,TOR,BUF,8
198411100TOR,CBH,CBH,2
198410310STL,STL,TOR,12
198503270TOR,TOR,STL,0
198412170TOR,STL,TOR,5
198501020TOR,PIT,TOR,7
198412260BUF,BUF,TOR,0
198411210MNS,MNS,TOR,9
198504060TOR,BUF,TOR,2
198410260QUE,TOR,TOR,5
198501090TOR,BOS,TOR,1
