game_id,winner,loser,num_penalties
198604120WIN,CGY,WIN,5
198605020CGY,STL,CGY,4
198605160CGY,CGY,MTL,13
198604240CGY,EDM,CGY,12
198604180EDM,CGY,EDM,12
198604100CGY,CGY,WIN,13
198605040CGY,CGY,STL,10
198605240CGY,MTL,CGY,4
198605220MTL,MTL,CGY,12
198604200EDM,EDM,CGY,8
198604300EDM,CGY,EDM,3
198605200MTL,MTL,CGY,13
198605080STL,STL,CGY,14
198605120STL,STL,CGY,15
198604220CGY,CGY,EDM,2
198605180CGY,MTL,CGY,8
198604280CGY,EDM,CGY,2
198605140CGY,CGY,STL,2
198604260EDM,CGY,EDM,8
198604090CGY,CGY,WIN,10
198605100CGY,CGY,STL,10
198605060STL,CGY,STL,7
