game_id,winner,loser,num_penalties
198602120NYR,NYR,VAN,4
198511110NYR,CBH,NYR,2
198511130NYR,NYR,MTL,12
198601220TOR,NYR,TOR,2
198603010WSH,WSH,NYR,3
198510190NYI,NYI,NYR,1
198601100NYR,NYR,MTL,10
198602080BOS,NYR,BOS,5
198602050STL,STL,NYR,5
198603150PIT,NYR,NYR,2
198601270QUE,NYR,NYR,2
198511170NYR,EDM,NYR,5
198510100NYR,NYR,WSH,0
198601010WSH,WSH,NYR,1
198603280NYR,NYR,EDM,0
198603050WIN,WIN,NYR,2
198603060CGY,NYR,CGY,0
198512070PHI,PHI,NYR,11
198602250TOR,TOR,NYR,4
198601120NYR,STL,STL,2
198602200NYR,NYR,STL,0
198510270NYR,NYR,BOS,0
198511160MTL,NYR,NYR,6
198601180EDM,NYR,EDM,0
198603180NYI,NYI,NYR,2
198603290PHI,PHI,NYR,0
198601290CBH,CBH,NYR,6
198603090NYR,PHI,NYR,4
198510200NYR,NYR,VAN,0
198601050NYR,QUE,NYR,3
198604060NYR,PIT,NYR,5
198512200NYR,NYI,NYI,6
198511270NYR,CGY,NYR,4
198603230NYR,CBH,NYR,4
198512110NJD,NYR,NJD,6
198510160LAK,LAK,NYR,4
198512230NYR,DET,NYR,7
198510120HAR,HAR,NYR,0
198604050WSH,NYR,NYR,0
198601230NYR,QUE,NYR,0
198603120NYR,CGY,NYR,5
198512260BUF,BUF,NYR,1
198602240NYR,NYR,MNS,2
198511300PIT,PIT,NYR,14
198602160NYR,NYR,DET,14
198604020NYR,PHI,NYR,3
198603020NYR,WSH,NYR,4
198511240NYR,NYI,NYR,5
198601310BUF,BUF,NYR,5
198603310NYR,NYR,NJD,7
198511080WIN,NYR,WIN,0
198512290NYR,NYR,WSH,12
198512080NYR,NYR,PHI,8
198512180NYR,BUF,NYR,0
198601140VAN,NYR,VAN,4
198601200NYR,HAR,NYR,2
198603250NJD,NYR,NJD,11
198512020NYR,PIT,NYR,10
198603160NYR,NYR,NYI,5
198511020NJD,NJD,NYR,12
198602010HAR,NYR,HAR,0
198510250NYR,NYR,LAK,0
198511200NYR,NYR,TOR,12
198512210NYI,NYR,NYI,7
198511090MNS,MNS,NYR,2
198603220PHI,PHI,NYR,4
198511290WSH,NYR,WSH,2
198511230NYI,NYR,NYI,2
198602140DET,NYR,DET,7
198510230NYR,NYR,NJD,2
198602270NYR,NYR,PIT,0
198511060NYR,PHI,NYR,5
198510130NYR,NJD,NYR,2
198512150NYR,PIT,NYR,5
198512280MNS,MNS,NYR,1
198603110NJD,NYR,NJD,1
198601150LAK,NYR,LAK,1
198512140BOS,BOS,NYR,7
198511040PIT,NYR,PIT,3
198512040NYR,NYR,WIN,9
