game_id,winner,loser,num_penalties
198604300STL,STL,TOR,9
198605020CGY,STL,CGY,4
198604180STL,STL,TOR,8
198604240TOR,STL,TOR,21
198605040CGY,CGY,STL,10
198605080STL,STL,CGY,14
198604120STL,STL,MNS,6
198604130STL,MNS,STL,5
198605120STL,STL,CGY,15
198604200STL,TOR,STL,12
198604220TOR,TOR,STL,10
198604150MNS,STL,MNS,8
198605140CGY,CGY,STL,2
198604100MNS,MNS,STL,7
198605100CGY,CGY,STL,10
198604260STL,STL,TOR,0
198604280TOR,TOR,STL,13
198604090MNS,STL,MNS,19
198605060STL,CGY,STL,7
