game_id,winner,loser,num_penalties
198805080NJD,NJD,BOS,14
198804180MTL,MTL,BOS,2
198804220BOS,BOS,MTL,12
198804070BOS,BOS,BUF,14
198804090BUF,BUF,BOS,25
198805220BOS,EDM,BOS,4
198805140BOS,BOS,NJD,3
198805260EDM,EDM,BOS,3
198805060NJD,BOS,NJD,14
198805120NJD,NJD,BOS,8
198805180EDM,EDM,BOS,2
198804100BUF,BUF,BOS,6
198804140BUF,BOS,BUF,5
198805100BOS,BOS,NJD,13
198805240BOS,EDM,EDM,0
198805040BOS,NJD,BOS,22
198805020BOS,BOS,NJD,8
198804260MTL,BOS,MTL,6
198804240BOS,BOS,MTL,6
198805200EDM,EDM,BOS,9
198804060BOS,BOS,BUF,20
198804200MTL,BOS,MTL,3
198804120BOS,BOS,BUF,3
