game_id,winner,loser,num_penalties
198810310CGY,CGY,CHI,3
198903220CHI,PHI,CHI,4
198901300CHI,CHI,TOR,0
198812060PIT,PIT,CHI,7
198811130CHI,QUE,QUE,1
198810120CHI,CHI,WIN,9
198902100CHI,CHI,NYI,10
198902120CHI,LAK,CHI,6
198811250BUF,BUF,CHI,4
198903180NJD,CHI,NJD,5
198810250QUE,CHI,QUE,2
198812100PHI,PHI,CHI,3
198811050MNS,CHI,CHI,2
198810150HAR,HAR,CHI,16
198810160CHI,CHI,BOS,5
198811260BOS,BOS,CHI,10
198903110PHI,PHI,CHI,10
198901210STL,STL,CHI,6
198810300EDM,CHI,EDM,2
198810280VAN,VAN,CHI,4
198901160CHI,EDM,EDM,3
198810090CHI,TOR,CHI,11
198902190CHI,MTL,MTL,11
198811190MTL,MTL,CHI,0
198811290MNS,MNS,CHI,8
198812170STL,STL,CHI,8
198812210CHI,WSH,CHI,7
198902150CHI,CHI,WSH,7
198901140NYI,CHI,NYI,2
198901250EDM,CHI,EDM,4
198902040TOR,CHI,TOR,2
198812180CHI,NJD,CHI,6
198903160MNS,MNS,CHI,20
198902170DET,CHI,DET,11
198811110WIN,CHI,WIN,0
198812260CHI,STL,CHI,3
198812230CHI,CHI,DET,33
198902010CHI,CHI,WIN,11
198902250DET,DET,CHI,10
198902140MNS,CHI,MNS,4
198902220CHI,MNS,MNS,3
198810180DET,DET,CHI,11
198811030CHI,CHI,MNS,2
198812280CHI,CHI,MNS,5
198903140STL,STL,CHI,1
198901240VAN,CHI,VAN,6
198902260CHI,DET,DET,8
198812030LAK,LAK,CHI,13
198901110CHI,DET,DET,6
198811090CHI,MTL,MTL,5
198812310NYR,NYR,CHI,7
198901070WSH,WSH,CHI,9
198812140CHI,CHI,HAR,11
198903050CHI,STL,STL,5
198812110CHI,CHI,STL,17
198903190CHI,CHI,DET,19
198903290CHI,CHI,QUE,6
198901080CHI,CHI,NYI,4
198901010CHI,TOR,TOR,6
198903120CHI,PIT,CHI,6
198811060CHI,LAK,CHI,3
198903040TOR,CHI,CHI,4
198810060CHI,NYR,NYR,10
198903080CHI,NJD,CHI,9
198810220PIT,PIT,CHI,11
198811160CHI,CHI,BUF,0
198810200STL,STL,CHI,5
198901200DET,CHI,DET,8
198904020CHI,CHI,TOR,0
198901180CHI,NYR,CHI,4
198901280CGY,CGY,CHI,6
198811230TOR,TOR,CHI,3
198810080TOR,TOR,CHI,11
198903260CHI,CGY,CHI,8
198904010HAR,HAR,CHI,6
198903250BOS,BOS,CHI,0
198811200CHI,VAN,CHI,5
198901120BUF,BUF,CHI,4
198903010CHI,CHI,MNS,10
198902050CHI,STL,CHI,5
