game_id,winner,loser,num_penalties
198812220NYI,PHI,NYI,0
198810070EDM,EDM,NYI,11
198903130MTL,NYI,MTL,2
198811290DET,DET,NYI,13
198811120NYI,BUF,NYI,2
198811220NYI,WSH,NYI,11
198812030PIT,PIT,NYI,1
198901280PHI,PHI,NYI,10
198902100CHI,CHI,NYI,10
198812260TOR,NYI,TOR,8
198810290QUE,QUE,NYI,2
198902250NYI,PIT,PIT,7
198903010DET,DET,NYI,9
198902160NYI,NYI,STL,3
198811230WSH,WSH,NYI,7
198903180VAN,VAN,NYI,7
198811110NJD,NYI,NYI,13
198902050QUE,NYI,QUE,4
198901130NJD,NYI,NJD,3
198810090LAK,LAK,NYI,2
198812310NYI,NYI,WSH,2
198903050WIN,NYI,WIN,7
198903040MNS,MNS,NYI,0
198903090NYI,PHI,PHI,5
198811190NYI,NYI,PIT,5
198811270NYR,NYR,NYI,2
198901140NYI,CHI,NYI,2
198901070NYI,NYR,NYI,0
198901050BOS,NYI,BOS,2
198810180NYI,NYI,VAN,8
198903110NYI,NYI,NJD,13
198810150NYI,NYI,MTL,2
198901100PIT,PIT,NYI,5
198811160MTL,MTL,NYI,1
198810100VAN,NYI,VAN,7
198812140NYR,NYR,NYI,1
198810250NYI,TOR,NYI,2
198811260NYI,NYR,NYI,9
198901170NYI,NYI,PIT,2
198902140NYI,NYI,EDM,0
198901260NYI,NYI,WIN,1
198902180NYI,NYI,PHI,5
198810220NYI,NYI,QUE,7
198812100NYI,LAK,NYI,2
198812170NYI,NYI,NJD,11
198902110STL,STL,NYI,0
198901030NYI,PHI,NYI,8
198811050NYI,NYI,WSH,5
198812200PIT,PIT,NYI,1
198810060CGY,NYI,NYI,3
198904010NYI,BUF,NYI,4
198902190PHI,PHI,NYI,9
198812090NJD,NJD,NYI,8
198811150NYI,CGY,NYI,4
198901080CHI,CHI,NYI,4
198901210NYI,NYI,MNS,3
198901300NYR,NYR,NYI,2
198903260WSH,WSH,NYI,5
198811010NYI,WIN,NYI,6
198811080NYI,NYI,NYR,7
198812010STL,STL,NYI,6
198901190NYI,NYI,LAK,6
198812150NYI,PIT,NYI,9
198903210CGY,CGY,NYI,9
198903230NYI,NYI,MNS,6
198811040WSH,WSH,NYI,8
198810270PHI,PHI,NYI,4
198812060NYI,BOS,NYI,4
198902220BUF,BUF,NYI,6
198902280NYI,HAR,NYI,4
198903280NYI,NYI,WSH,4
198903290NJD,NYI,NJD,16
198902020NYI,TOR,NYI,2
198903070NYI,BOS,NYI,7
198903190EDM,EDM,NYI,5
198904020NYR,NYI,NYR,7
198902210NYI,DET,NYI,3
198903140HAR,HAR,NYI,9
198902040NYI,NYI,HAR,6
198901240NYI,NJD,NJD,0
