game_id,winner,loser,num_penalties
199005100EDM,EDM,CHI,0
199004060EDM,EDM,WIN,2
199004160EDM,EDM,WIN,0
199005200EDM,BOS,EDM,0
199004140WIN,EDM,WIN,1
199004100WIN,WIN,EDM,1
199005060CHI,CHI,EDM,3
199005180BOS,EDM,BOS,8
199004240LAK,EDM,LAK,2
199005080CHI,EDM,CHI,5
199004120EDM,EDM,WIN,3
199005020EDM,EDM,CHI,0
199005220EDM,EDM,BOS,4
199004040EDM,WIN,EDM,1
199004220LAK,EDM,LAK,2
199005040EDM,CHI,EDM,7
199005150BOS,EDM,BOS,3
199005240BOS,EDM,BOS,0
199005120CHI,EDM,CHI,0
199004080WIN,WIN,EDM,4
199004200EDM,EDM,LAK,4
199004180EDM,EDM,LAK,0
