game_id,winner,loser,num_penalties
199011170MNS,STL,MNS,0
199011210DET,DET,MNS,0
199011010PHI,PHI,MNS,0
199101210WIN,WIN,MNS,3
199101260NJD,MNS,NJD,3
199012080MNS,MNS,PHI,9
199012150MNS,MNS,CHI,13
199101150MNS,MTL,MNS,2
199010040MNS,STL,MNS,2
199102260MNS,PHI,PHI,3
199102070MNS,MNS,TOR,7
199103140STL,MNS,MNS,16
199101120MNS,BUF,MNS,3
199012310MNS,LAK,MNS,4
199103280LAK,LAK,MNS,3
199011100MNS,HAR,MNS,16
199010240MNS,MNS,HAR,1
199011030QUE,MNS,QUE,1
199103090MNS,MNS,DET,3
199103120MNS,MNS,BUF,4
199012230HAR,MNS,HAR,9
199010090NJD,NJD,MNS,9
199103160TOR,TOR,MNS,2
199011130MNS,PIT,MNS,1
199102200MNS,MNS,EDM,0
199010300TOR,TOR,MNS,4
199102020QUE,MNS,QUE,4
199010080NYR,NYR,MNS,6
199010200STL,MNS,MNS,17
199011300WIN,MNS,WIN,2
199102130BUF,MNS,MNS,7
199103220WSH,WSH,MNS,1
199010110MNS,BOS,BOS,6
199010130MNS,CHI,MNS,6
199011240MNS,NJD,MNS,2
199012220BOS,BOS,MNS,6
199103010EDM,MNS,MNS,5
199103310STL,STL,MNS,13
199011040MTL,MNS,MNS,1
199101050MNS,VAN,MNS,6
199012010MNS,MNS,PIT,9
199012050TOR,MNS,TOR,1
199010060MNS,MNS,NYI,4
199011270VAN,MNS,MNS,5
199101250WSH,MNS,MNS,10
199012130STL,STL,MNS,3
199101280TOR,TOR,MNS,2
199012160CHI,CHI,MNS,5
199101130CHI,CHI,MNS,10
199011080MNS,MNS,QUE,8
199103100MNS,MNS,CGY,14
199103250MNS,STL,MNS,5
199012290MNS,BOS,BOS,5
199103020CGY,CGY,MNS,2
199012260MNS,WIN,MNS,7
199101020DET,DET,MNS,2
199012110MNS,CGY,MNS,1
199011230MNS,MNS,VAN,0
199012200PIT,PIT,MNS,2
199012060MNS,TOR,MNS,1
199102160DET,MNS,DET,7
199010170LAK,LAK,MNS,4
199011150MNS,NYR,MNS,8
199101030MNS,TOR,TOR,4
199102040MTL,MTL,MNS,1
199103240CHI,CHI,MNS,12
199101170MNS,MNS,WSH,12
199102230MNS,CHI,CHI,2
199102090MNS,MNS,DET,7
199010260DET,DET,MNS,6
199010270MNS,DET,DET,7
199101300MNS,MNS,DET,4
199102120NYI,NYI,MNS,0
199103170MNS,MNS,TOR,9
199103060MNS,MNS,EDM,2
199101080NYI,MNS,NYI,5
199010210CHI,CHI,MNS,15
199011190NYR,MNS,MNS,4
199101220MNS,MNS,STL,3
199103300MNS,MNS,CHI,8
