game_id,winner,loser,num_penalties
199205030NYR,PIT,NYR,0
199204190WSH,WSH,PIT,8
199205210BOS,PIT,BOS,1
199205170PIT,PIT,BOS,1
199205010WSH,PIT,WSH,0
199205110NYR,PIT,NYR,3
199204250PIT,WSH,PIT,5
199205190PIT,PIT,BOS,0
199205130PIT,PIT,NYR,0
199205300CHI,PIT,CHI,1
199205280PIT,PIT,CHI,1
199204210WSH,WSH,PIT,6
199205090PIT,PIT,NYR,1
199205070PIT,NYR,PIT,6
199206010CHI,PIT,CHI,1
199204270WSH,PIT,WSH,4
199205260PIT,PIT,CHI,0
199205050NYR,NYR,PIT,3
199204230PIT,PIT,WSH,12
199205230BOS,PIT,BOS,4
199204290PIT,PIT,WSH,0
