game_id,winner,loser,num_penalties
199305190TOR,LAK,TOR,4
199305270LAK,LAK,TOR,4
199304210CGY,CGY,LAK,18
199305230LAK,TOR,LAK,1
199305130LAK,LAK,VAN,3
199304180CGY,LAK,CGY,4
199305110VAN,LAK,VAN,3
199306030MTL,MTL,LAK,5
199306010MTL,LAK,MTL,2
199306050LAK,MTL,LAK,1
199305070LAK,LAK,VAN,2
199304290LAK,LAK,CGY,2
199306070LAK,MTL,LAK,6
199305050VAN,LAK,VAN,1
199306090MTL,MTL,LAK,3
199305210LAK,LAK,TOR,7
199305090LAK,VAN,LAK,8
199305020VAN,VAN,LAK,0
199305290TOR,LAK,TOR,1
199305170TOR,TOR,LAK,7
199305250TOR,TOR,LAK,4
199304250LAK,LAK,CGY,5
199304230LAK,CGY,LAK,5
199304270CGY,LAK,CGY,1
