game_id,winner,loser,num_penalties
199212030BOS,BOS,MTL,10
199303180QUE,MTL,QUE,5
199211070MTL,MTL,DET,0
199211280MTL,VAN,MTL,3
199301130MTL,MTL,HAR,12
199301160MTL,MTL,NYR,4
199210230NYR,MTL,MTL,2
199212120MTL,MTL,BOS,4
199302270MTL,MTL,BUF,20
199212270VAN,VAN,MTL,2
199211020MTL,MTL,WIN,6
199212190MTL,MTL,BUF,4
199211110NJD,MTL,NJD,5
199303010BOS,MTL,BOS,5
199210110BUF,BUF,MTL,9
199303100MTL,MTL,NYI,3
199302090NYI,MTL,NYI,0
199211300MTL,MTL,BUF,0
199210240PHI,MTL,PHI,0
199302170MTL,BOS,MTL,8
199302200MTL,MTL,OTT,2
199303270MTL,MTL,OTT,4
199211170OTT,MTL,OTT,7
199212060CHI,CHI,MTL,0
199301200MTL,MTL,NJD,0
199301220NJD,NJD,MTL,8
199301250MTL,MTL,BOS,1
199211090MTL,MTL,CGY,0
199211190QUE,QUE,MTL,4
199210280MTL,MTL,TBL,0
199302130OTT,MTL,OTT,3
199211040DET,MTL,DET,3
199212050WIN,MTL,WIN,5
199210310MTL,MTL,NYR,3
199303240HAR,MTL,HAR,4
199212160MTL,QUE,MTL,2
199303310MTL,QUE,MTL,6
199303250BOS,BOS,MTL,5
199211230MTL,WSH,WSH,1
199211210MTL,MTL,OTT,2
199210150PIT,PIT,MTL,1
199211160MTL,MTL,BOS,0
199212080LAK,MTL,MTL,4
199303060MNS,MNS,MTL,2
199301050SJS,MTL,SJS,2
199301300MTL,MTL,OTT,10
199212130NYR,MTL,NYR,0
199301040MTL,MTL,SJS,1
199303110BOS,BOS,MTL,7
199210170MTL,MTL,MNS,1
199301310MTL,MTL,PHI,4
199212230MTL,NYI,MTL,0
199304030NYI,MTL,NYI,0
199304120MTL,WSH,MTL,2
199301140QUE,MTL,QUE,6
199210210MTL,MTL,SJS,1
199211140MTL,PHI,MTL,3
199212170QUE,MTL,QUE,12
199212310CGY,CGY,MTL,3
199210080OTT,OTT,MTL,0
199210100MTL,PIT,PIT,3
199302110PHI,MTL,MTL,3
199304100MTL,BOS,MTL,0
199301100HAR,MTL,HAR,14
199212210MTL,HAR,MTL,3
199302030MTL,MTL,LAK,10
199302210MTL,MTL,EDM,3
199210190MTL,MTL,STL,6
199302230STL,MTL,STL,5
199301270MTL,HAR,MTL,9
199303030TBL,TBL,MTL,0
199304020WSH,WSH,MTL,5
199302260BUF,MTL,BUF,13
199303130MTL,QUE,MTL,7
199301230TOR,TOR,MTL,9
199301090MTL,TOR,MTL,4
199211250HAR,MTL,HAR,5
199304070PIT,PIT,MTL,0
199301020LAK,MTL,MTL,5
199304130BUF,MTL,BUF,11
199303200MTL,MTL,CHI,7
199303220MTL,BUF,MTL,8
199210060HAR,MTL,HAR,2
199212290EDM,MTL,EDM,6
