game_id,winner,loser,num_penalties
199305200NYI,MTL,NYI,1
199304180QUE,QUE,MTL,2
199305060BUF,MTL,BUF,5
199304220MTL,MTL,QUE,0
199305240MTL,MTL,NYI,2
199305020MTL,MTL,BUF,1
199305220NYI,NYI,MTL,2
199304240MTL,MTL,QUE,1
199304200QUE,QUE,MTL,6
199306030MTL,MTL,LAK,5
199306010MTL,LAK,MTL,2
199306050LAK,MTL,LAK,1
199306070LAK,MTL,LAK,6
199304280MTL,MTL,QUE,5
199306090MTL,MTL,LAK,3
199305040MTL,MTL,BUF,0
199304260QUE,MTL,QUE,11
199305180MTL,MTL,NYI,2
199305080BUF,MTL,BUF,7
199305160MTL,MTL,NYI,8
