game_id,winner,loser,num_penalties
199210180PHI,PHI,WIN,0
199301140PHI,CGY,CGY,4
199212110DET,DET,PHI,1
199303210PHI,NJD,PHI,15
199304120PHI,PHI,NYR,1
199301300PIT,PIT,PHI,16
199210310STL,STL,PHI,0
199210060PIT,PHI,PHI,2
199211070PHI,PHI,STL,12
199212300SJS,PHI,SJS,5
199302250PHI,PHI,NJD,10
199303050WSH,PHI,WSH,8
199303270QUE,QUE,PHI,11
199212030PHI,PHI,QUE,8
199210130QUE,QUE,PHI,9
199301030EDM,PHI,PHI,5
199304080PHI,PHI,WSH,1
199302030NYR,PHI,PHI,1
199212290LAK,LAK,PHI,3
199301100PHI,PHI,EDM,4
199210290CHI,PHI,PHI,0
199302160CGY,PHI,PHI,0
199301280PHI,QUE,PHI,3
199302140PHI,NJD,PHI,2
199301230NYI,NYI,PHI,6
199210220PHI,VAN,VAN,0
199210240PHI,MTL,PHI,0
199302270PHI,NYI,PHI,5
199304100TOR,PHI,TOR,4
199302200MNS,MNS,PHI,10
199210090PHI,PHI,NJD,2
199303250PHI,PHI,SJS,8
199210100WSH,PHI,WSH,0
199303240NYR,PHI,NYR,3
199304060WIN,PHI,WIN,5
199303090NYI,NYI,PHI,2
199210150PHI,NYI,PHI,7
199303160PHI,PHI,MNS,1
199212150PIT,PIT,PHI,0
199211280NYI,NYI,PHI,12
199302240HAR,PHI,HAR,14
199211220PHI,BUF,BUF,4
199303300NYI,NYI,PHI,7
199302220PHI,DET,DET,3
199212170PHI,PIT,PHI,6
199301090PHI,PHI,NYR,0
199211040NYR,NYR,PHI,2
199301310MTL,MTL,PHI,4
199303110PHI,PHI,WSH,3
199211140MTL,PHI,MTL,3
199302090PHI,PHI,OTT,12
199302130NJD,NJD,PHI,8
199303020PHI,PHI,PIT,0
199301170PHI,DET,PHI,0
199212230PHI,PIT,PHI,3
199302110PHI,MTL,MTL,3
199212050OTT,OTT,PHI,3
199301240PHI,PHI,HAR,10
199212200TBL,TBL,PHI,1
199303070NJD,NJD,PHI,7
199304150BUF,PHI,BUF,5
199301160BOS,PHI,BOS,4
199211210BOS,BOS,PHI,2
199301020CGY,CGY,PHI,1
199301210PHI,BOS,PHI,5
199211190PHI,PHI,NYR,7
199210260NYR,NYR,PHI,4
199304040PHI,PHI,TOR,9
199301070PHI,PHI,WSH,2
199210200NYI,NYI,PHI,5
199303200PIT,PIT,PHI,4
199212120PHI,WSH,PHI,6
199304010PHI,LAK,PHI,0
199211150PHI,PHI,OTT,3
199304030PHI,PHI,TBL,9
199304160HAR,PHI,HAR,1
199302180VAN,PHI,VAN,7
199212190PHI,PHI,CHI,12
199212260WSH,PHI,PHI,9
199210170NJD,NJD,PHI,0
199212060PHI,BOS,PHI,3
199211120PHI,PHI,NYI,5
199301260PHI,BUF,PHI,4
199211270PHI,PHI,NYI,8
