game_id,winner,loser,num_penalties
199305030TOR,TOR,STL,2
199305190TOR,LAK,TOR,4
199305270LAK,LAK,TOR,4
199304270DET,TOR,DET,2
199305230LAK,TOR,LAK,1
199305070STL,STL,TOR,2
199305130STL,STL,TOR,3
199304210DET,DET,TOR,10
199304250TOR,TOR,DET,2
199304190DET,DET,TOR,2
199305210LAK,LAK,TOR,7
199305090STL,TOR,STL,7
199305050TOR,STL,TOR,3
199304230TOR,TOR,DET,3
199305290TOR,LAK,TOR,1
199305150TOR,TOR,STL,3
199305110TOR,TOR,STL,5
199305170TOR,TOR,LAK,7
199305250TOR,TOR,LAK,4
199305010DET,TOR,DET,0
199304290TOR,DET,TOR,10
