game_id,winner,loser,num_penalties
199405070BOS,NJD,BOS,3
199405270NYR,NYR,NJD,0
199404250NJD,NJD,BUF,0
199405170NYR,NYR,NJD,3
199405030NJD,BOS,NJD,2
199405050BOS,NJD,BOS,9
199405210NJD,NJD,NYR,3
199404270BUF,BUF,NJD,4
199405250NJD,NYR,NJD,4
199404230BUF,BUF,NJD,13
199404190NJD,NJD,BUF,11
199405150NYR,NJD,NYR,9
199404290NJD,NJD,BUF,2
199404170NJD,BUF,NJD,3
199405090NJD,NJD,BOS,2
199404210BUF,NJD,BUF,2
199405190NJD,NYR,NJD,9
199405230NYR,NJD,NYR,2
199405110BOS,NJD,BOS,0
199405010NJD,BOS,NJD,0
