game_id,winner,loser,num_penalties
199405030NYR,NYR,WSH,2
199406070VAN,NYR,VAN,4
199405070WSH,WSH,NYR,3
199406040VAN,NYR,VAN,8
199405270NYR,NYR,NJD,0
199405170NYR,NYR,NJD,3
199406020NYR,NYR,VAN,4
199404240NYI,NYR,NYI,8
199405210NJD,NJD,NYR,3
199405090NYR,NYR,WSH,5
199406090NYR,VAN,NYR,6
199405250NJD,NYR,NJD,4
199406140NYR,NYR,VAN,4
199404170NYR,NYR,NYI,3
199405150NYR,NJD,NYR,9
199404210NYI,NYR,NYI,3
199405010NYR,NYR,WSH,8
199405190NJD,NYR,NJD,9
199405310NYR,VAN,NYR,4
199405050WSH,NYR,WSH,5
199404180NYR,NYR,NYI,5
199405230NYR,NJD,NYR,2
199406110VAN,VAN,NYR,0
