game_id,winner,loser,num_penalties
199405080VAN,VAN,DAL,2
199404180CGY,VAN,CGY,6
199405040DAL,VAN,DAL,7
199405160TOR,TOR,VAN,0
199405200VAN,VAN,TOR,9
199406070VAN,NYR,VAN,4
199404200CGY,CGY,VAN,7
199404260CGY,VAN,CGY,0
199406040VAN,NYR,VAN,8
199405060VAN,DAL,VAN,3
199404240VAN,CGY,VAN,1
199406020NYR,NYR,VAN,4
199405240VAN,VAN,TOR,3
199404220VAN,CGY,VAN,0
199405020DAL,VAN,DAL,2
199404280VAN,VAN,CGY,0
199406090NYR,VAN,NYR,6
199405220VAN,VAN,TOR,0
199406140NYR,NYR,VAN,4
199404300CGY,VAN,CGY,5
199405100VAN,VAN,DAL,2
199405310NYR,VAN,NYR,4
199406110VAN,VAN,NYR,0
199405180TOR,VAN,TOR,3
