game_id,winner,loser,num_penalties
199504260BOS,BOS,HAR,9
199502070BOS,BOS,MTL,7
199502140PIT,PIT,BOS,7
199504120BOS,QUE,BOS,5
199503220QUE,QUE,BOS,5
199504280PIT,PIT,BOS,7
199501220BOS,BOS,PHI,2
199504240NYI,NYI,BOS,0
199505030MTL,BOS,MTL,3
199503280BOS,BOS,PHI,0
199503090PHI,PHI,BOS,2
199504190BOS,BOS,BUF,10
199503300NYI,BOS,NYI,0
199504300BOS,BOS,PIT,0
199504080BOS,BOS,TBL,4
199503160BOS,BOS,MTL,11
199502250QUE,BOS,BOS,2
199504020WSH,WSH,BOS,0
199503070BOS,WSH,BOS,9
199501260BOS,BOS,NJD,5
199503180BOS,BOS,NYI,1
199504060BOS,BUF,BUF,1
199503050HAR,BOS,HAR,0
199502020BOS,BOS,OTT,9
199502230NJD,BOS,NJD,3
199502220HAR,HAR,BOS,3
199503110BOS,FLA,BOS,2
199503240TBL,BOS,TBL,0
199505010BOS,BOS,OTT,2
199502170FLA,BOS,FLA,4
199504090BUF,BOS,BUF,2
199504010BOS,NYR,BOS,3
199501230NYR,BOS,NYR,0
199502040BOS,BOS,HAR,5
199504230BOS,BOS,NYR,1
199502090BOS,QUE,BOS,6
199502270OTT,BOS,OTT,0
199501280PHI,PHI,BOS,0
199502110BOS,WSH,WSH,7
199503020BOS,BOS,NJD,15
199504140NYR,NYR,BOS,1
199503040BOS,PIT,BOS,5
199504150MTL,BOS,MTL,2
199501300BOS,FLA,BOS,2
199502120BUF,BOS,BUF,4
199503190NJD,NJD,BOS,8
199504200OTT,BOS,OTT,0
199502180TBL,TBL,BOS,8
