game_id,winner,loser,num_penalties
199605280PIT,PIT,FLA,4
199605140FLA,FLA,PHI,0
199605020PHI,FLA,PHI,0
199605260FLA,PIT,FLA,4
199606100FLA,COL,FLA,9
199606010PIT,FLA,PIT,3
199604220FLA,FLA,BOS,14
199605070FLA,PHI,FLA,8
199605200PIT,PIT,FLA,1
199605090FLA,FLA,PHI,1
199605120PHI,FLA,PHI,0
199604240BOS,FLA,BOS,7
199605040PHI,PHI,FLA,6
199605300FLA,FLA,PIT,2
199605240FLA,FLA,PIT,11
199606060COL,COL,FLA,8
199606080FLA,COL,FLA,2
199605180PIT,FLA,PIT,2
199604170FLA,FLA,BOS,8
199606040COL,COL,FLA,6
199604250BOS,BOS,FLA,7
199604270FLA,FLA,BOS,0
