game_id,winner,loser,num_penalties
199705220DET,DET,COL,15
199704270STL,DET,STL,0
199706070DET,DET,PHI,0
199704250DET,DET,STL,5
199705310PHI,DET,PHI,1
199705060MDA,DET,MDA,5
199706030PHI,DET,PHI,4
199705170COL,DET,COL,3
199705020DET,DET,MDA,5
199705260DET,DET,COL,2
199705240COL,COL,DET,11
199704200STL,DET,STL,3
199706050DET,DET,PHI,0
199705040DET,DET,MDA,2
199704220STL,STL,DET,14
199705190DET,DET,COL,0
199705080MDA,DET,MDA,0
199704160DET,STL,DET,5
199705150COL,COL,DET,6
199704180DET,DET,STL,6
