game_id,winner,loser,num_penalties
199804240WSH,BOS,WSH,6
199805010WSH,BOS,WSH,4
199804260BOS,WSH,BOS,6
199805130OTT,WSH,OTT,3
199806020WSH,BUF,WSH,2
199805110OTT,OTT,WSH,7
199806090DET,DET,WSH,2
199805300BUF,WSH,BUF,0
199805280BUF,WSH,BUF,5
199806130WSH,DET,WSH,4
199805090WSH,WSH,OTT,9
199805070WSH,WSH,OTT,0
199805250WSH,WSH,BUF,5
199805150WSH,WSH,OTT,1
199806040BUF,WSH,BUF,3
199806110DET,DET,WSH,3
199804280BOS,WSH,BOS,0
199805230WSH,BUF,WSH,1
199806160WSH,DET,WSH,3
199804220WSH,WSH,BOS,0
199805030BOS,WSH,BOS,2
