game_id,winner,loser,num_penalties
199905270BUF,BUF,TOR,10
199906100DAL,DAL,BUF,4
199905160BOS,BOS,BUF,4
199906190BUF,DAL,BUF,0
199905090BOS,BUF,BOS,2
199905310TOR,BUF,TOR,2
199906150BUF,BUF,DAL,10
199904210OTT,BUF,OTT,2
199905180BUF,BUF,BOS,2
199905120BUF,BUF,BOS,1
199905250TOR,TOR,BUF,0
199906120BUF,DAL,BUF,4
199906080DAL,BUF,DAL,2
199906170DAL,DAL,BUF,6
199905060BOS,BOS,BUF,5
199904250BUF,BUF,OTT,4
199905140BUF,BUF,BOS,4
199905230TOR,BUF,TOR,1
199904270BUF,BUF,OTT,2
199904230OTT,BUF,OTT,3
199905290BUF,BUF,TOR,1
