game_id,winner,loser,num_penalties
199903240OTT,BOS,OTT,2
199810170OTT,OTT,NSH,2
199902270MTL,MTL,OTT,2
199903190DAL,OTT,DAL,2
199902180OTT,OTT,BOS,1
199901040CAR,OTT,OTT,0
199812170BOS,BOS,OTT,3
199812030OTT,OTT,LAK,3
199810310OTT,OTT,MTL,0
199903130SJS,SJS,OTT,1
199811210OTT,OTT,CGY,1
199901190NYR,OTT,NYR,1
199901080OTT,OTT,TBL,3
199811260OTT,OTT,NYI,2
199904010OTT,PIT,PIT,2
199812010NSH,OTT,NSH,0
199901020OTT,OTT,NJD,1
199810290OTT,OTT,PHI,2
199903260OTT,SJS,SJS,2
199901110NJD,OTT,NJD,0
199811200WSH,OTT,WSH,7
199903100NYR,OTT,NYR,0
199901210BOS,OTT,BOS,0
199811050OTT,PIT,OTT,0
199810240OTT,CAR,OTT,3
199904030FLA,OTT,FLA,3
199811280TOR,TOR,OTT,0
199901160OTT,BUF,BUF,1
199901140OTT,OTT,NJD,2
199901180OTT,PHI,OTT,0
199904100OTT,BUF,BUF,1
199812300BUF,OTT,BUF,2
199903150LAK,LAK,OTT,5
199902030EDM,OTT,OTT,0
199903270NYI,OTT,NYI,3
199811100BUF,OTT,OTT,2
199903200STL,OTT,STL,5
199903080OTT,OTT,TBL,4
199901060DET,OTT,DET,2
199904050TBL,OTT,OTT,0
199904080OTT,OTT,TOR,4
199902250OTT,OTT,MTL,0
199811010PHI,OTT,PHI,0
199812200OTT,DAL,OTT,1
199811150CHI,OTT,OTT,6
199903060OTT,OTT,TOR,5
199901010WSH,OTT,WSH,2
199810220OTT,STL,OTT,1
199812280OTT,MDA,MDA,2
199902150OTT,OTT,CHI,2
199904170CAR,OTT,OTT,0
199811230OTT,OTT,VAN,1
199812180OTT,OTT,CAR,1
199812120OTT,PHX,OTT,0
199902090OTT,BUF,BUF,2
199810100COL,OTT,COL,7
199812230OTT,OTT,MTL,4
199811070OTT,WSH,OTT,2
199901100OTT,OTT,DET,0
199812260PIT,PIT,OTT,0
199903170MDA,OTT,OTT,1
199810110PHX,OTT,PHX,1
199903020NYI,OTT,NYI,0
199903040PHI,OTT,PHI,3
199810210MTL,MTL,OTT,1
199812050OTT,NYR,OTT,1
199902130OTT,OTT,WSH,0
199902110OTT,FLA,OTT,2
199902010VAN,OTT,VAN,1
199901260NJD,NJD,OTT,1
199811120OTT,EDM,EDM,1
199902200OTT,OTT,PHI,9
199904120OTT,FLA,OTT,4
199812080TBL,OTT,TBL,1
199901300OTT,OTT,NYI,1
199902230BOS,BOS,OTT,6
199903300PIT,OTT,PIT,0
199904150OTT,NYR,NYR,3
199811140TOR,TOR,OTT,0
199902060CGY,OTT,CGY,2
199812090FLA,FLA,OTT,2
199904070TOR,TOR,OTT,0
