game_id,winner,loser,num_penalties
200006010NJD,DAL,NJD,5
200005300NJD,NJD,DAL,1
200006100DAL,NJD,DAL,4
200005050SJS,DAL,SJS,3
200005230DAL,DAL,COL,0
200005270DAL,DAL,COL,2
200004280DAL,DAL,SJS,1
200004120DAL,DAL,EDM,3
200004210DAL,DAL,EDM,0
200006080NJD,DAL,NJD,0
200005070DAL,DAL,SJS,3
200005130DAL,COL,DAL,0
200005020SJS,SJS,DAL,0
200004180EDM,DAL,EDM,2
200005210COL,DAL,COL,10
200005190COL,COL,DAL,1
200004160EDM,EDM,DAL,11
200004130DAL,DAL,EDM,2
200006030DAL,NJD,DAL,0
200005150DAL,DAL,COL,4
200004300DAL,DAL,SJS,1
200005250COL,COL,DAL,2
200006050DAL,NJD,DAL,0
