game_id,winner,loser,num_penalties
200002190FLA,PIT,FLA,2
200001290FLA,FLA,EDM,2
200003210NYR,FLA,NYR,0
200001150TBL,FLA,TBL,6
199912080PHX,FLA,PHX,0
199910120MTL,FLA,MTL,1
200003100TBL,FLA,TBL,13
199910220FLA,CGY,FLA,4
199911100FLA,FLA,ATL,4
200002010CAR,CAR,FLA,2
200002260FLA,CAR,FLA,3
200001120FLA,FLA,NYI,0
200003030NYR,NYR,FLA,1
200001080SJS,FLA,SJS,2
200002120BOS,FLA,BOS,0
199912170BUF,FLA,BUF,0
200002210FLA,OTT,FLA,1
200001050MDA,FLA,MDA,3
199912200FLA,TOR,FLA,2
200003110FLA,CHI,FLA,6
200001220FLA,FLA,BOS,2
200001210ATL,FLA,FLA,11
199912180PIT,FLA,PIT,1
199912040FLA,FLA,WSH,1
200002280FLA,BUF,FLA,1
200001060LAK,LAK,FLA,0
199911130FLA,FLA,BUF,5
200001140FLA,FLA,CAR,3
200003180NYI,FLA,NYI,4
200001190FLA,WSH,FLA,0
200001170FLA,FLA,PHI,1
200004010FLA,TBL,TBL,9
199911260FLA,FLA,NYR,4
199912030ATL,ATL,FLA,3
200001010FLA,FLA,TBL,10
199911200FLA,FLA,PIT,3
199912270TBL,FLA,TBL,12
200001270PHI,PHI,FLA,9
199910240PHI,PHI,FLA,5
199911170COL,FLA,COL,1
199912260CAR,CAR,FLA,4
200003190NJD,NJD,FLA,10
200003290FLA,DAL,FLA,8
199910130TOR,TOR,FLA,0
200003310FLA,FLA,OTT,2
200003070WSH,WSH,FLA,2
200004050FLA,FLA,BOS,2
199911030EDM,FLA,FLA,4
199911240FLA,PHI,FLA,7
199910060FLA,FLA,LAK,1
199910300OTT,OTT,FLA,7
200003040FLA,STL,STL,1
200002230WSH,WSH,FLA,0
199910270FLA,FLA,NYI,9
199912300CHI,CHI,FLA,2
200003250FLA,FLA,MTL,4
199910160FLA,FLA,MDA,4
200002110OTT,OTT,FLA,0
200003230BOS,FLA,BOS,0
199910020FLA,FLA,WSH,2
199912100DAL,DAL,FLA,0
200004080NJD,NJD,FLA,1
199910090FLA,DET,DET,2
199912150FLA,FLA,NSH,0
200002020FLA,FLA,MTL,2
200001260FLA,NJD,FLA,0
200002160FLA,FLA,NYR,4
200002090FLA,FLA,SJS,9
199911060CGY,FLA,CGY,10
200004090NYI,NYI,FLA,3
200002240CAR,FLA,CAR,8
199911270FLA,FLA,ATL,4
199910290BUF,BUF,FLA,1
199912110NSH,FLA,NSH,5
199912220FLA,ATL,ATL,2
200003010FLA,FLA,TOR,7
200002140MTL,MTL,FLA,4
199911180STL,STL,FLA,1
200004030FLA,FLA,NJD,4
199910200FLA,FLA,VAN,6
199911050VAN,VAN,FLA,4
200003160PIT,PIT,FLA,2
