game_id,winner,loser,num_penalties
199910130NJD,NJD,MDA,2
200002030NJD,NJD,NSH,0
200003020COL,COL,NJD,0
200003150NJD,DAL,NJD,1
200004060NJD,BUF,NJD,0
200001060BUF,NJD,BUF,6
200002020NYR,NJD,NYR,2
199910220DAL,DAL,NJD,4
199911040BOS,BOS,NJD,0
199912180NJD,NJD,WSH,2
200001280CAR,CAR,NJD,2
200002130NJD,NJD,SJS,0
199910070NJD,PIT,NJD,0
199911090NJD,NJD,PHI,5
199910020ATL,NJD,ATL,9
199912270NJD,NJD,BUF,4
199911200NJD,NJD,OTT,1
200002080NYR,NJD,NJD,4
200003280PIT,PIT,NJD,1
200001210NJD,NJD,NYI,6
200003240NYI,NJD,NYI,1
200001010BOS,NJD,NJD,9
200002170NJD,COL,COL,0
200001050PIT,NJD,PIT,3
199912010NJD,NJD,NYR,3
199912260NYR,NJD,NJD,7
199912110NJD,EDM,NJD,0
200003130PIT,NJD,PIT,1
199912160MTL,NJD,MTL,3
199912220NJD,NJD,PHI,8
199911280SJS,SJS,NJD,8
200001150PHI,NJD,PHI,2
199911030NJD,NJD,MTL,2
199911250PHX,PHX,NJD,2
200002210BUF,BUF,NJD,2
199911130WSH,WSH,NJD,2
200003310NJD,NJD,ATL,4
200003040VAN,VAN,NJD,4
200003050CGY,NJD,NJD,2
200003170NJD,TBL,NJD,0
200001190NJD,NJD,CHI,4
200002290NSH,NJD,NSH,0
199910230STL,STL,NJD,1
200002240MTL,MTL,NJD,4
199912190NYI,NYI,NJD,0
200003190NJD,NJD,FLA,10
199910300PHI,PHI,NJD,5
199910110OTT,NJD,NJD,0
199912090CHI,NJD,CHI,6
200003110WSH,WSH,NJD,5
200003100ATL,NJD,ATL,2
200001170NJD,NJD,CAR,2
199910290CAR,NJD,CAR,3
200002250NJD,TOR,NJD,2
200002090NJD,NJD,NYR,5
199911120NJD,NJD,ATL,7
200002270NJD,NJD,MTL,5
200003250TOR,TOR,NJD,2
199912070NJD,NJD,PIT,6
199912290NJD,NJD,BOS,1
199912040NJD,CGY,NJD,5
200001030OTT,NJD,OTT,0
200004080NJD,NJD,FLA,1
199910090NJD,NJD,TBL,6
200001260FLA,NJD,FLA,0
199912030NJD,NJD,OTT,16
200001290DET,DET,NJD,5
200002190NJD,NYI,NJD,3
199911170NJD,BOS,BOS,4
200002150NJD,NJD,PHI,6
199912140NJD,NJD,LAK,5
199910270NJD,NJD,STL,0
199911060NJD,TOR,TOR,1
200003210NJD,CAR,NJD,9
199910160NJD,NJD,NYI,2
200001110TBL,NJD,TBL,7
199912230TOR,TOR,NJD,2
200001140NJD,WSH,NJD,0
200004020TBL,NJD,TBL,5
200001080NJD,NJD,PHX,2
200004030FLA,FLA,NJD,4
199911240MDA,NJD,MDA,0
