game_id,winner,loser,num_penalties
200105090COL,COL,LAK,1
200106070NJD,COL,NJD,6
200104300LAK,COL,LAK,3
200104140COL,COL,VAN,3
200104160VAN,COL,VAN,5
200105260COL,COL,NJD,8
200105210COL,COL,STL,2
200106020NJD,NJD,COL,1
200104260COL,LAK,COL,1
200104120COL,COL,VAN,2
200105160STL,STL,COL,2
200105310NJD,COL,NJD,0
200105290COL,NJD,COL,3
200105040COL,LAK,COL,1
200104180VAN,COL,VAN,2
200105120COL,COL,STL,5
200106040COL,NJD,COL,4
200105060LAK,LAK,COL,1
200105140COL,COL,STL,0
200105020LAK,COL,LAK,1
200106090COL,COL,NJD,0
200105180STL,COL,STL,2
200104280COL,COL,LAK,1
