game_id,winner,loser,num_penalties
200202070NJD,ATL,ATL,3
200110300ATL,OTT,ATL,2
200203230OTT,ATL,OTT,8
200204030COL,COL,ATL,2
200112180BOS,ATL,BOS,2
200111290TBL,TBL,ATL,6
200112260ATL,FLA,FLA,1
200203060ATL,MDA,ATL,4
200111070NJD,NJD,ATL,1
200204020CGY,CGY,ATL,5
200111270MTL,MTL,ATL,3
200203300DET,DET,ATL,4
200112280ATL,ATL,TOR,2
200112230ATL,DAL,ATL,4
200204050ATL,NJD,ATL,5
200111040MDA,MDA,ATL,8
200111130MIN,MIN,ATL,4
200201190FLA,ATL,FLA,19
200201130ATL,TBL,TBL,1
200204140ATL,CAR,CAR,4
200110270ATL,ATL,TBL,0
200204100ATL,FLA,FLA,0
200111220ATL,MTL,ATL,3
200202050ATL,ATL,EDM,1
200112310FLA,FLA,ATL,5
200204120CBJ,CBJ,ATL,3
200111190ATL,ATL,BUF,4
200203180ATL,PIT,ATL,0
200110260ATL,ATL,WSH,2
200201260PIT,PIT,ATL,2
200203270ATL,MIN,ATL,5
200201030PHX,PHX,ATL,2
200112100ATL,PHI,ATL,0
200112140ATL,CHI,ATL,5
200112210CAR,CAR,ATL,0
200201280ATL,PHX,ATL,2
200202260ATL,ATL,BUF,1
200202120STL,STL,ATL,6
200201080PHI,PHI,ATL,2
200203140ATL,ATL,COL,2
200110190ATL,NYR,ATL,0
200110040BUF,ATL,BUF,2
200111010SJS,SJS,ATL,6
200111180NYR,NYR,ATL,2
200201090ATL,ATL,OTT,2
200111030LAK,LAK,ATL,7
200112120ATL,MTL,MTL,9
200201150TOR,ATL,TOR,2
200203080ATL,BOS,ATL,2
200203120ATL,TBL,TBL,4
200203160ATL,VAN,ATL,2
200203010ATL,ATL,NYI,3
200203100NYI,NYI,ATL,3
200203200TBL,TBL,ATL,7
200110160ATL,PHI,PHI,1
200111080BUF,BUF,ATL,3
200201060ATL,NYI,ATL,2
200203040MTL,MTL,ATL,2
200201110ATL,ATL,CGY,1
200112150WSH,WSH,ATL,0
200112080PIT,PIT,ATL,4
200204070CAR,ATL,ATL,1
200111100WSH,WSH,ATL,5
200201300ATL,TOR,ATL,3
200110130ATL,CAR,ATL,2
200203020NYI,NYI,ATL,1
200201220ATL,WSH,ATL,4
200110230ATL,PIT,ATL,7
200201170PHI,PHI,ATL,2
200201020DAL,DAL,ATL,0
200203220NYR,ATL,NYR,9
200111160ATL,NSH,NSH,2
200201240ATL,ATL,NJD,1
200112040ATL,BOS,ATL,1
200112060ATL,WSH,WSH,4
200202110TOR,TOR,ATL,0
200112190ATL,SJS,ATL,3
200110200CAR,CAR,ATL,2
200112010FLA,ATL,FLA,2
200202080ATL,NYR,ATL,1
200111240OTT,ATL,OTT,2
200110060BOS,BOS,ATL,3
