game_id,winner,loser,num_penalties
200204230NJD,NJD,CAR,1
200205190CAR,CAR,TOR,3
200205280TOR,CAR,TOR,3
200205230TOR,CAR,TOR,1
200205130MTL,CAR,MTL,3
200205120CAR,CAR,MTL,1
200204240CAR,CAR,NJD,1
200206060DET,DET,CAR,6
200205160CAR,TOR,CAR,4
200205050CAR,MTL,CAR,1
200204190CAR,CAR,NJD,1
200204170CAR,CAR,NJD,3
200206080CAR,DET,CAR,6
200205250CAR,TOR,CAR,3
200205210TOR,CAR,TOR,1
200205090MTL,CAR,MTL,7
200204270NJD,CAR,NJD,4
200206040DET,CAR,DET,1
200206130DET,DET,CAR,2
200205070MTL,MTL,CAR,0
200204210NJD,NJD,CAR,3
200205030CAR,CAR,MTL,4
200206100CAR,DET,CAR,0
