game_id,winner,loser,num_penalties
200306050NJD,NJD,MDA,6
200304300MDA,MDA,DAL,2
200304100DET,MDA,DET,3
200305100MIN,MDA,MIN,0
200305160MDA,MDA,MIN,2
200305050MDA,MDA,DAL,0
200304140MDA,MDA,DET,3
200306070MDA,MDA,NJD,6
200304260DAL,MDA,DAL,0
200304280MDA,DAL,MDA,1
200305120MIN,MDA,MIN,0
200305030DAL,DAL,MDA,1
200305310MDA,MDA,NJD,0
200305270NJD,NJD,MDA,1
200306090NJD,NJD,MDA,0
200305140MDA,MDA,MIN,3
200304120DET,MDA,DET,1
200305290NJD,NJD,MDA,0
200304240DAL,MDA,DAL,1
200306020MDA,MDA,NJD,0
200304160MDA,MDA,DET,2
