game_id,winner,loser,num_penalties
200311020CHI,CHI,MDA,9
200310210SJS,MDA,SJS,2
200403030MDA,MDA,MIN,0
200401230MDA,MDA,MIN,6
200311090MDA,MDA,PHX,2
200402290MDA,MDA,LAK,10
200310240MDA,BUF,MDA,0
200403060PIT,PIT,MDA,0
200401210MDA,DET,DET,0
200403210MDA,MDA,DET,0
200403170MDA,STL,STL,0
200312050ATL,ATL,MDA,3
200401280MDA,LAK,MDA,0
200402020EDM,EDM,MDA,0
200401090MDA,VAN,MDA,3
200312290TBL,MDA,TBL,0
200403160PHX,MDA,PHX,0
200312270FLA,FLA,MDA,0
200311040STL,STL,MDA,2
200311280MDA,MDA,CHI,8
200312130SJS,SJS,MDA,0
200402130CGY,CGY,MDA,4
200403260CBJ,CBJ,MDA,1
200312140MDA,EDM,MDA,0
200401110MDA,CBJ,CBJ,1
200311160MDA,MDA,STL,7
200401190MDA,CGY,MDA,3
200402010CGY,CGY,MDA,5
200310190MDA,BOS,MDA,2
200311190DAL,MDA,MDA,6
200311260MDA,NJD,NJD,1
200310080DAL,DAL,MDA,6
200401020BUF,BUF,MDA,2
200402230PHX,MDA,MDA,6
200402140VAN,MDA,VAN,4
200311300MIN,MDA,MDA,2
200402110MDA,MDA,PHX,6
200310220MDA,MDA,PHI,8
200401240LAK,LAK,MDA,0
200403190MDA,SJS,MDA,2
200310170MDA,OTT,MDA,2
200310090NSH,NSH,MDA,10
200401150EDM,EDM,MDA,2
200311180COL,COL,MDA,0
200401170VAN,MDA,VAN,0
200402220DAL,DAL,MDA,0
200311080PHX,PHX,MDA,5
200401300MDA,MDA,COL,4
200311120MDA,MDA,TOR,1
200402180MDA,MDA,CBJ,1
200312070MDA,MDA,DAL,7
200403120MDA,NYI,MDA,5
200401030DET,DET,MDA,0
200401070MDA,LAK,LAK,0
200310280NYR,MDA,NYR,2
200312190MDA,MDA,COL,3
200404040MDA,MDA,CGY,3
200402200MDA,NSH,MDA,2
200402160MDA,MDA,DAL,1
200310260MDA,CHI,CHI,3
200403310MDA,VAN,MDA,0
200402280LAK,LAK,MDA,3
200310120MDA,PHX,MDA,1
200403050CHI,MDA,CHI,5
200312220SJS,SJS,MDA,4
200402250MDA,MDA,EDM,0
200311010NYI,NYI,MDA,1
200312310CAR,MDA,CAR,0
200403080MDA,MTL,MDA,2
200401050MDA,DAL,DAL,2
200403230NSH,MDA,NSH,0
200312030DET,DET,MDA,3
200310290WSH,MDA,WSH,0
200403140LAK,LAK,MDA,3
200312020CBJ,CBJ,MDA,5
200401130COL,COL,MDA,2
200312210MDA,SJS,MDA,8
200312100MDA,MDA,SJS,0
200403280MIN,MIN,MDA,0
200402040MDA,MDA,CAR,2
200311210MDA,NSH,MDA,0
200403250STL,STL,MDA,0
