game_id,winner,loser,num_penalties
200312050CGY,CGY,MIN,4
200401120MIN,NSH,NSH,0
200403030MDA,MDA,MIN,0
200312130MIN,MIN,BUF,2
200401230MDA,MDA,MIN,6
200401140MIN,LAK,LAK,0
200311200PHI,PHI,MIN,5
200403090SJS,MIN,SJS,4
200310190DAL,DAL,MIN,4
200312260DET,MIN,MIN,0
200402100MIN,LAK,MIN,0
200310080CHI,CHI,MIN,1
200402150MIN,CGY,MIN,0
200401050STL,MIN,MIN,2
200311070CGY,MIN,CGY,9
200310210MIN,CGY,MIN,1
200310120MIN,SJS,MIN,5
200401190NSH,NSH,MIN,5
200310240FLA,MIN,FLA,0
200311130MIN,EDM,MIN,1
200401160MIN,MIN,PIT,0
200401260LAK,MIN,MIN,0
200402260NSH,NSH,MIN,4
200403190NYI,NYI,MIN,0
200312150PHX,MIN,PHX,3
200401290MIN,MTL,MIN,2
200311150MIN,DET,DET,1
200310180MIN,VAN,VAN,0
200404020MIN,MIN,DAL,0
200403310MIN,MIN,COL,0
200311040COL,MIN,MIN,0
200310280BUF,MIN,BUF,4
200404040MIN,MIN,STL,0
200402040NYR,MIN,NYR,2
200401240SJS,SJS,MIN,3
200311300MIN,MDA,MDA,2
200402020MIN,MIN,STL,15
200401040COL,COL,MIN,3
200403220MIN,PHX,MIN,0
200312060VAN,MIN,MIN,0
200311010MIN,MIN,WSH,2
200401170STL,MIN,MIN,1
200311220MIN,DET,MIN,1
200310250TBL,TBL,MIN,1
200402290MIN,CAR,CAR,4
200403290DET,DET,MIN,2
200403070PHX,MIN,MIN,3
200310160MIN,COL,MIN,3
200312090MIN,MIN,CGY,3
200312230MIN,NSH,NSH,0
200312290CGY,MIN,MIN,5
200403240CBJ,CBJ,MIN,5
200401310CBJ,CBJ,MIN,4
200312300EDM,MIN,MIN,4
200403140MIN,MIN,CBJ,0
200403040LAK,MIN,MIN,2
200311280MIN,SJS,MIN,0
200402190MIN,MIN,VAN,12
200311080VAN,VAN,MIN,11
200403100VAN,MIN,MIN,2
200312030EDM,MIN,EDM,1
200311190PIT,MIN,PIT,3
200401210MIN,MIN,CHI,5
200402270DAL,DAL,MIN,2
200402170NJD,MIN,MIN,0
200311110MIN,MIN,VAN,2
200310100MIN,MIN,NYR,0
200312170COL,MIN,COL,4
200401090MIN,PHX,MIN,0
200312200MIN,MIN,CBJ,7
200402130MIN,MIN,EDM,9
200403160MIN,MIN,OTT,4
200403180BOS,MIN,BOS,0
200403280MIN,MIN,MDA,0
200310300MIN,MIN,ATL,2
200312180EDM,MIN,MIN,5
200403250CHI,MIN,CHI,11
200401020MIN,EDM,MIN,0
200402220MIN,COL,MIN,0
200401070MIN,MIN,CHI,0
200312110MIN,TOR,MIN,5
200311260MIN,DAL,MIN,2
