game_id,winner,loser,num_penalties
200511290PIT,BUF,PIT,0
200601050BUF,BUF,TBL,0
200510150FLA,FLA,BUF,1
200603030BUF,BUF,TOR,5
200603250BOS,BOS,BUF,0
200602040BUF,BUF,OTT,7
200602090BUF,MTL,BUF,1
200510050BUF,BUF,NYI,1
200602110BUF,BUF,FLA,6
200604080OTT,BUF,OTT,2
200603070BUF,BUF,BOS,1
200603300NJD,NJD,BUF,1
200511220BUF,NYR,BUF,0
200510280NJD,NJD,BUF,0
200510080OTT,OTT,BUF,2
200512190PHI,BUF,PHI,4
200601160EDM,BUF,EDM,4
200511090BUF,CAR,BUF,0
200601070BUF,NJD,BUF,4
200604120BUF,BUF,MTL,7
200510130TBL,BUF,TBL,0
200512020BUF,SJS,BUF,2
200602070MTL,BUF,MTL,0
200601190VAN,VAN,BUF,1
200603160BUF,BUF,TOR,0
200603120BUF,BUF,BOS,2
200512290TOR,TOR,BUF,1
200511250BUF,BUF,MTL,0
200510070BUF,BUF,BOS,0
200512040COL,BUF,COL,0
200512080BUF,BUF,MDA,0
200604030TOR,BUF,TOR,2
200512110MIN,BUF,MIN,0
200511040BUF,MTL,BUF,0
200603090BUF,BUF,TBL,0
200512010MTL,BUF,MTL,2
200510260BUF,WSH,BUF,0
200603220BUF,CAR,BUF,2
200512220FLA,FLA,BUF,0
200511190BOS,BUF,BOS,0
200601260TOR,BUF,TOR,3
200601140BUF,BUF,LAK,3
200601120BUF,PHX,BUF,0
200510290NYI,BUF,NYI,1
200511230NYI,BUF,NYI,1
200604160BUF,BUF,TOR,4
200603270NYR,NYR,BUF,2
200601010BUF,FLA,BUF,2
200601310ATL,BUF,ATL,2
200512160PIT,BUF,PIT,0
200510220BUF,BUF,NYR,0
200604150MTL,BUF,MTL,0
200512300BUF,BUF,ATL,2
200603180OTT,OTT,BUF,2
200511050MTL,MTL,BUF,5
200603200ATL,ATL,BUF,4
200511110BUF,BUF,TOR,0
200602020BUF,BUF,PHI,0
200512260BUF,BUF,NYI,0
200603290BUF,BUF,BOS,0
200601210CGY,CGY,BUF,2
200603010BUF,ATL,BUF,0
200512140BUF,BUF,DAL,0
200511120OTT,OTT,BUF,0
200512230TBL,BUF,TBL,0
200512170BUF,BUF,PIT,0
200510200BOS,BUF,BOS,2
200511150BUF,BUF,NJD,0
200510100BUF,BUF,PIT,0
200603140WSH,BUF,WSH,0
200604050BUF,BUF,OTT,3
200511020BUF,BUF,OTT,6
200604010TOR,TOR,BUF,2
200602120CAR,CAR,BUF,0
200601240NYR,BUF,NYR,5
200511270WSH,BUF,WSH,0
200604070BUF,PHI,BUF,0
200603240BUF,OTT,BUF,1
200603040BOS,BUF,BOS,0
200604180CAR,BUF,CAR,0
200511170BUF,BUF,WSH,9
200603110PHI,BUF,PHI,0
