game_id,winner,loser,num_penalties
200611040SJS,SJS,PIT,4
200702250TBL,TBL,PIT,6
200611240NYI,NYI,PIT,4
200610070PIT,DET,PIT,2
200701100FLA,FLA,PIT,0
200610140PIT,CAR,PIT,4
200610120NYR,PIT,NYR,0
200612160MTL,MTL,PIT,1
200703040PIT,PIT,PHI,2
200611280PIT,PIT,NYI,0
200703310TOR,TOR,PIT,0
200702270PIT,NJD,PIT,4
200612050PIT,FLA,PIT,0
200611170BUF,BUF,PIT,1
200611130PIT,PIT,PHI,4
200611100PIT,OTT,PIT,2
200702060PIT,PIT,NSH,5
200703060OTT,PIT,OTT,2
200610280PHI,PIT,PHI,4
200610190NYI,PIT,NYI,4
200703130PIT,PIT,BUF,1
200703290BOS,PIT,BOS,0
200704030PIT,BUF,PIT,0
200704050OTT,PIT,OTT,4
200701270PHX,PIT,PHX,9
200702180PIT,PIT,WSH,0
200701160PIT,PIT,NYI,4
200701300PIT,PIT,FLA,0
200610210PIT,PIT,CBJ,7
200611250PIT,NYR,PIT,0
200703100PIT,PIT,NYR,2
200703190NYR,NYR,PIT,0
200703020CAR,CAR,PIT,5
200702040MTL,MTL,PIT,0
200701020PIT,PIT,CAR,0
200612010NJD,NJD,PIT,0
200703250PIT,PIT,BOS,4
200701050BUF,PIT,BUF,0
200611200PHI,PIT,PHI,2
200702010PIT,PIT,MTL,6
200703220NYI,NYI,PIT,5
200701130PHI,PIT,PHI,9
200611080PIT,TBL,PIT,0
200703140NJD,PIT,NJD,4
200612290PIT,PIT,TOR,4
200612090ATL,PIT,ATL,0
200702190NYI,NYI,PIT,0
200704070PIT,PIT,NYR,2
200701070PIT,TBL,PIT,2
200612150PIT,PIT,NYI,4
200612260NJD,NJD,PIT,4
200701260DAL,PIT,DAL,3
200702080PHI,PIT,PHI,0
200612130PIT,PIT,PHI,2
200702220FLA,PIT,FLA,0
200702100TOR,PIT,TOR,4
200702140PIT,PIT,CHI,0
200703080PIT,NJD,PIT,0
200701180BOS,BOS,PIT,2
200610180PIT,NJD,PIT,0
200612070NYR,NYR,PIT,0
200611060ANA,ANA,PIT,2
200703010NYR,PIT,NYR,0
200610240PIT,PIT,NJD,1
200701090TBL,TBL,PIT,0
200703180PIT,PIT,OTT,0
200701200PIT,PIT,TOR,9
200702030PIT,PIT,WSH,0
200611180PIT,PIT,NYR,2
200611220PIT,BOS,PIT,2
200612110WSH,PIT,WSH,5
200702160NJD,PIT,NJD,1
200703160PIT,PIT,MTL,1
200703270WSH,PIT,WSH,3
200612210ATL,ATL,PIT,0
200611010LAK,PIT,LAK,0
200610050PIT,PIT,PHI,3
200703240PIT,PIT,ATL,4
200612020PIT,NYI,PIT,8
200611110CAR,CAR,PIT,4
200612190PIT,STL,PIT,0
200612270PIT,ATL,PIT,0
