game_id,winner,loser,num_penalties
200704050VAN,COL,VAN,0
200701030VAN,VAN,DAL,0
200702030CGY,CGY,VAN,5
200610200STL,VAN,STL,2
200701180OTT,VAN,OTT,0
200702010VAN,VAN,EDM,5
200702220LAK,VAN,LAK,0
200703310VAN,CGY,VAN,3
200703060VAN,VAN,TBL,3
200703150VAN,VAN,STL,1
200701300VAN,CBJ,VAN,1
200703010VAN,VAN,PHX,4
200703130VAN,MIN,VAN,3
200611060VAN,VAN,DAL,1
200612260CGY,VAN,CGY,3
200701020CGY,VAN,CGY,2
200612220CBJ,CBJ,VAN,5
200701110VAN,MIN,VAN,2
200610050DET,VAN,DET,0
200611190VAN,VAN,CHI,2
200611280VAN,VAN,CBJ,0
200610310VAN,NSH,VAN,0
200701190BUF,BUF,VAN,1
200701280VAN,VAN,SJS,4
200702140MIN,VAN,MIN,2
200612120VAN,VAN,PHX,0
200612160VAN,VAN,MIN,2
200703290LAK,VAN,LAK,1
200703170VAN,VAN,DET,2
200610060CBJ,VAN,CBJ,0
200704030VAN,VAN,LAK,1
200612300EDM,VAN,EDM,7
200611090VAN,ANA,VAN,2
200703110ANA,ANA,VAN,10
200702180VAN,VAN,COL,1
200612270VAN,VAN,CGY,1
200611250COL,COL,VAN,4
200701070VAN,VAN,FLA,0
200702100VAN,VAN,ATL,0
200702270STL,STL,VAN,0
200703210VAN,VAN,NSH,0
200611140VAN,DET,VAN,0
200702160CHI,VAN,CHI,1
200611300VAN,ANA,VAN,0
200611110VAN,CGY,VAN,0
200611220DET,VAN,DET,2
200703090SJS,VAN,SJS,0
200611170VAN,VAN,STL,3
200612190MIN,MIN,VAN,3
200701160MTL,VAN,MTL,2
200701260VAN,LAK,VAN,0
200610270VAN,VAN,WSH,2
200610250CHI,VAN,CHI,0
200701050VAN,VAN,EDM,0
200610210NSH,VAN,NSH,2
200701130TOR,VAN,TOR,0
200702200ANA,VAN,ANA,0
200702250DAL,DAL,VAN,0
200612020VAN,VAN,COL,2
200704070SJS,VAN,SJS,5
200610230DAL,DAL,VAN,6
200702060EDM,VAN,EDM,8
200611230NSH,NSH,VAN,2
200610080COL,COL,VAN,0
200610100MIN,MIN,VAN,0
200611040COL,COL,VAN,1
200704080PHX,PHX,VAN,0
200703190EDM,VAN,EDM,0
200610130VAN,SJS,VAN,3
200612090CGY,CGY,VAN,4
200703270COL,VAN,COL,3
200702070VAN,CHI,VAN,2
200612040VAN,EDM,VAN,4
200703040VAN,VAN,MIN,1
200612080VAN,VAN,CAR,0
200703080PHX,VAN,PHX,1
200610170EDM,EDM,VAN,2
200703250VAN,COL,VAN,2
200611020MIN,MIN,VAN,2
200612140VAN,VAN,CGY,4
200612210BOS,BOS,VAN,1
200610160VAN,VAN,EDM,2
