game_id,winner,loser,num_penalties
200903100DET,DET,PHX,0
200902070PHX,CAR,PHX,4
200811240NYR,NYR,PHX,2
200810170OTT,OTT,PHX,0
200901290SJS,SJS,PHX,5
200811210CAR,CAR,PHX,0
200810120ANA,PHX,ANA,10
200811060VAN,VAN,PHX,4
200902140PHX,CGY,PHX,4
200810300PHX,PHX,PIT,0
200902040DET,DET,PHX,1
200904070PHX,STL,PHX,0
200903260PHX,PHX,EDM,0
200903190PHX,ANA,PHX,4
200901180EDM,EDM,PHX,2
200903300PHX,PHX,DAL,3
200810250PHX,CGY,PHX,4
200904020PHX,PHX,LAK,2
200812060STL,STL,PHX,8
200901020PHX,PHX,NYI,0
200902120PHX,VAN,PHX,2
200904040LAK,LAK,PHX,5
200812230COL,COL,PHX,1
200811180PHX,CHI,PHX,5
200812220EDM,EDM,PHX,4
200903210PHX,PHX,VAN,0
200902110DAL,PHX,DAL,4
200904090SJS,PHX,SJS,7
200902190PHX,PHX,ATL,6
200811260CBJ,PHX,CBJ,3
200812200PHX,PHX,CBJ,2
200811220PHI,PHI,PHX,1
200811280PHX,PHX,COL,0
200901060PHX,CHI,PHX,1
200902210LAK,PHX,LAK,3
200901100PHX,PHX,DAL,0
200810110PHX,PHX,CBJ,4
200810180MTL,MTL,PHX,7
200901310PHX,BUF,PHX,6
200901270PHX,ANA,PHX,2
200810230PHX,PHX,WSH,0
200812110PHX,PHX,MIN,3
200902160PHX,EDM,PHX,4
200812100DAL,PHX,DAL,0
200901080PHX,PHX,TBL,0
200811040CGY,PHX,CGY,2
200810150CHI,CHI,PHX,6
200902260NSH,NSH,PHX,2
200811090PHX,PHX,SJS,2
200812130PHX,DET,PHX,2
200812180PHX,PHX,NSH,0
200903080NYI,NYI,PHX,0
200901170CGY,PHX,CGY,2
200902240STL,STL,PHX,0
200812020PHX,PHX,LAK,0
200902030NSH,NSH,PHX,6
200903220ANA,ANA,PHX,3
200811120CBJ,PHX,CBJ,4
200812310PHX,PHX,COL,0
200901150VAN,PHX,VAN,2
200901130MIN,MIN,PHX,2
200811150PHX,DAL,PHX,2
200904110PHX,PHX,ANA,0
200812040PHX,PHX,TOR,2
200902280PHX,STL,PHX,4
200903280SJS,SJS,PHX,4
200811080PHX,PHX,FLA,1
200903140PHX,NSH,PHX,0
200904010COL,PHX,COL,2
200812270PHX,LAK,PHX,2
200903170PHX,PHX,SJS,6
200903050BOS,PHX,BOS,0
200903120NJD,NJD,PHX,5
200811290PHX,SJS,PHX,1
200812260LAK,PHX,LAK,1
200903060BUF,BUF,PHX,2
200811130MIN,MIN,PHX,2
200901040ANA,ANA,PHX,0
200901200PHX,PHX,DET,0
200812160DAL,DAL,PHX,0
200812070CHI,CHI,PHX,10
200811010PHX,MIN,PHX,0
