game_id,winner,loser,num_penalties
201005160PHI,PHI,MTL,3
201005310CHI,CHI,PHI,2
201005030BOS,BOS,PHI,1
201004160NJD,NJD,PHI,2
201005010BOS,BOS,PHI,4
201005140BOS,PHI,BOS,0
201005100BOS,PHI,BOS,5
201005290CHI,CHI,PHI,0
201005240PHI,PHI,MTL,1
201004180PHI,PHI,NJD,2
201005200MTL,MTL,PHI,8
201004220NJD,PHI,NJD,5
201004200PHI,PHI,NJD,1
201006020PHI,PHI,CHI,1
201006090PHI,CHI,PHI,0
201006060CHI,CHI,PHI,0
201005120PHI,PHI,BOS,0
201005180PHI,PHI,MTL,0
201004140NJD,PHI,NJD,0
201005050PHI,BOS,PHI,0
201005220MTL,PHI,MTL,2
201005070PHI,PHI,BOS,3
201006040PHI,PHI,CHI,0
