game_id,winner,loser,num_penalties
201112310TBL,TBL,CAR,2
201112080MTL,VAN,MTL,0
201111120SJS,PHX,SJS,0
201110270EDM,EDM,WSH,2
201111030LAK,EDM,LAK,2
201111170SJS,SJS,DET,0
201203100TBL,CAR,TBL,0
201202090NJD,STL,NJD,0
201112300STL,NSH,STL,0
201201190LAK,CGY,LAK,2
201110150MIN,DET,MIN,0
201204020LAK,LAK,EDM,2
201202030FLA,FLA,WPG,3
201112210CAR,PHX,CAR,0
201110250EDM,EDM,VAN,1
201201120WPG,SJS,WPG,0
201202150FLA,OTT,FLA,5
201201100NYI,NYI,DET,2
201112290WPG,WPG,LAK,2
201202140CGY,CGY,TOR,0
201202250NSH,NSH,SJS,2
201201190PHI,NYI,PHI,4
201203110NJD,NJD,PHI,1
201203240TBL,TBL,NYI,0
201111110CHI,CHI,CGY,0
201201170NYR,NYR,NSH,0
201201100MTL,STL,MTL,1
201111050LAK,PIT,LAK,2
201110200EDM,MIN,EDM,2
201110090WPG,MTL,WPG,1
201203240TOR,NYR,TOR,0
201112130MTL,MTL,NYI,1
201202210CHI,CHI,DET,0
201112170PHX,NYR,PHX,2
201112290PIT,PHI,PIT,0
201112030BOS,BOS,TOR,2
201112010VAN,NSH,VAN,0
201202050WSH,BOS,WSH,3
201202190WPG,WPG,COL,3
201111080STL,STL,CHI,2
201111190MTL,MTL,NYR,5
201202180PHI,PIT,PHI,1
201111170NSH,NSH,TOR,2
201112170COL,COL,WSH,2
201111050NJD,NJD,WPG,2
201112060NSH,PHX,NSH,1
201110250CAR,OTT,CAR,0
201110220MTL,TOR,MTL,0
201111180CGY,CGY,CHI,4
201203280EDM,DAL,EDM,0
201112290TBL,TBL,MTL,1
201204010ANA,EDM,ANA,6
201203260PHI,TBL,PHI,0
201202070WPG,WPG,TOR,2
201110250CHI,CHI,ANA,2
201111050PHI,PHI,CBJ,6
201203270MIN,NYR,MIN,0
201110200BOS,BOS,TOR,2
201110280COL,EDM,COL,2
201203280CGY,LAK,CGY,0
201111130FLA,PHI,FLA,2
201201080OTT,OTT,PHI,2
201203290BOS,WSH,BOS,0
201203090CGY,CGY,WPG,2
201203180PHI,PHI,PIT,6
201203200NSH,EDM,NSH,3
201203010PHI,PHI,NYI,0
201110120CBJ,COL,CBJ,2
201203290NYI,NYI,PIT,0
201203060STL,STL,CHI,3
201112220NSH,NSH,CBJ,1
201202240CBJ,COL,CBJ,3
201201120CGY,CGY,ANA,0
201112260LAK,LAK,PHX,0
201201310TBL,TBL,WSH,0
201203080DAL,DAL,SJS,1
201112090EDM,EDM,COL,0
201112100LAK,DAL,LAK,4
201111230SJS,SJS,CHI,0
201110290DAL,DAL,NJD,0
201110250NSH,SJS,NSH,0
201111030NYR,NYR,ANA,3
201203060SJS,EDM,SJS,0
201112270CBJ,CGY,CBJ,3
201202170CAR,CAR,SJS,1
201112130NSH,NSH,CGY,0
201201120NYR,OTT,NYR,2
