game_id,winner,loser,num_penalties
201201140CBJ,SJS,CBJ,2
201203250CBJ,EDM,CBJ,2
201112130CBJ,CBJ,VAN,0
201112270CBJ,CGY,CBJ,3
201202240CBJ,COL,CBJ,3
201203010COL,CBJ,COL,2
201112100CBJ,BOS,CBJ,2
201201210DET,DET,CBJ,0
201112290DAL,CBJ,DAL,1
201203260DET,DET,CBJ,1
201110210DET,DET,CBJ,5
201110270BUF,BUF,CBJ,7
201111290VAN,VAN,CBJ,0
201201050SJS,SJS,CBJ,2
201202120CBJ,ANA,CBJ,4
201110150DAL,DAL,CBJ,1
201201190CBJ,NSH,CBJ,0
201203310STL,CBJ,STL,7
201202090CBJ,DAL,CBJ,1
201202260PIT,PIT,CBJ,0
201112060MTL,CBJ,MTL,0
201111100CBJ,CHI,CBJ,3
201203280CBJ,CBJ,DET,3
201202030ANA,CBJ,ANA,0
201203080CBJ,CBJ,LAK,2
201202190NYR,NYR,CBJ,0
201204070CBJ,CBJ,NYI,7
201112260CHI,CHI,CBJ,1
201203170VAN,VAN,CBJ,0
201110120CBJ,COL,CBJ,2
201202180CBJ,CHI,CBJ,4
201112010CGY,CBJ,CGY,4
201203180CGY,CBJ,CGY,2
201111050PHI,PHI,CBJ,6
201202210CBJ,CBJ,SJS,4
201203100STL,STL,CBJ,9
201203030PHX,CBJ,PHX,3
201110250CBJ,CBJ,DET,0
201112020EDM,EDM,CBJ,2
201203300CBJ,CBJ,FLA,2
201203140EDM,EDM,CBJ,0
201201070LAK,CBJ,LAK,7
201204050COL,CBJ,COL,5
201110180CBJ,DAL,CBJ,2
201111250CBJ,CBJ,BUF,0
201111170BOS,BOS,CBJ,3
201201230NSH,NSH,CBJ,0
201201240TBL,TBL,CBJ,0
201110100CBJ,VAN,CBJ,2
201201130CBJ,CBJ,PHX,0
201110070CBJ,NSH,CBJ,0
201201310SJS,SJS,CBJ,10
201111030CBJ,TOR,CBJ,1
201110300CBJ,CBJ,ANA,10
201112150CBJ,LAK,CBJ,0
201112310CBJ,WSH,CBJ,4
201201100CHI,CHI,CBJ,4
201203200CBJ,CHI,CBJ,3
201111150CBJ,MIN,CBJ,2
201112080CBJ,NSH,CBJ,2
201201080ANA,ANA,CBJ,6
201110290CHI,CHI,CBJ,0
201203060CBJ,CBJ,PHX,3
201203230CBJ,CBJ,CAR,0
201201170CBJ,CBJ,EDM,1
201204030PHX,PHX,CBJ,0
201202280CBJ,DET,CBJ,1
201202070CBJ,CBJ,MIN,2
201202140CBJ,CBJ,STL,5
201112170CBJ,TBL,CBJ,0
201112220NSH,NSH,CBJ,1
201203110CBJ,STL,CBJ,5
201112180STL,STL,CBJ,7
201111120CBJ,CBJ,WPG,2
201111210CBJ,CBJ,CGY,0
201110220OTT,OTT,CBJ,0
201111270CBJ,STL,CBJ,2
201202110MIN,CBJ,MIN,3
201202010LAK,LAK,CBJ,0
201110080MIN,MIN,CBJ,0
201111230NJD,NJD,CBJ,1
201111190NSH,CBJ,NSH,5
