game_id,winner,loser,num_penalties
201302010ANA,ANA,MIN,0
201302270ANA,ANA,NSH,2
201303080ANA,ANA,CGY,0
201304170ANA,CBJ,ANA,4
201302040ANA,ANA,SJS,2
201304220EDM,ANA,EDM,0
201301190VAN,ANA,VAN,0
201303250ANA,SJS,ANA,0
201302090STL,ANA,STL,0
201303140DAL,ANA,DAL,3
201302060COL,ANA,COL,4
201304080ANA,ANA,EDM,1
201302180ANA,ANA,CBJ,0
201301260ANA,ANA,NSH,0
201303060ANA,ANA,PHX,0
201304210EDM,ANA,EDM,1
201302150DET,ANA,DET,0
201303020PHX,PHX,ANA,2
201302080DAL,DAL,ANA,6
201304070ANA,ANA,LAK,2
201301290SJS,SJS,ANA,1
201304130LAK,LAK,ANA,0
201303270SJS,SJS,ANA,5
201304270ANA,PHX,ANA,0
201303290CHI,ANA,CHI,0
201301210CGY,ANA,CGY,1
201301250ANA,VAN,ANA,8
201303240ANA,DET,ANA,3
201303180ANA,ANA,SJS,2
201303100ANA,ANA,STL,0
201302160NSH,ANA,NSH,0
201303040PHX,PHX,ANA,0
201304050ANA,DAL,ANA,2
201303200ANA,ANA,CHI,0
201302240ANA,ANA,COL,0
201303120MIN,ANA,MIN,2
201303220ANA,DET,ANA,6
201303010ANA,ANA,MIN,5
201302020ANA,ANA,LAK,3
201302120CHI,ANA,CHI,2
201304010DAL,ANA,DAL,0
201303160STL,STL,ANA,0
201304100ANA,COL,ANA,0
201304190CGY,CGY,ANA,2
201304250VAN,ANA,VAN,0
201304030ANA,ANA,DAL,0
201303310CBJ,CBJ,ANA,0
201302250LAK,LAK,ANA,2
