game_id,winner,loser,num_penalties
201306060LAK,CHI,LAK,0
201306080CHI,CHI,LAK,0
201305150CHI,CHI,DET,2
201306020CHI,CHI,LAK,2
201305050MIN,MIN,CHI,3
201305290CHI,CHI,DET,2
201306120CHI,CHI,BOS,0
201306150CHI,BOS,CHI,0
201306220CHI,CHI,BOS,3
201306010CHI,CHI,LAK,1
201305230DET,DET,CHI,2
201305200DET,DET,CHI,3
201305270DET,CHI,DET,1
201305250CHI,CHI,DET,3
201306190BOS,CHI,BOS,2
201305090CHI,CHI,MIN,2
201304300CHI,CHI,MIN,0
201306040LAK,LAK,CHI,2
201306170BOS,BOS,CHI,6
201305070MIN,CHI,MIN,0
201306240BOS,CHI,BOS,1
201305030CHI,CHI,MIN,1
201305180CHI,DET,CHI,2
