game_id,winner,loser,num_penalties
201304150PHX,SJS,PHX,1
201304210SJS,CBJ,SJS,1
201302040ANA,ANA,SJS,2
201301240SJS,SJS,PHX,0
201304270LAK,LAK,SJS,0
201303250ANA,SJS,ANA,0
201303160LAK,LAK,SJS,2
201304070SJS,DAL,SJS,0
201304230SJS,SJS,DAL,0
201303300SJS,SJS,PHX,0
201304110DET,SJS,DET,0
201302090SJS,PHX,SJS,1
201303050VAN,SJS,VAN,0
201302220CHI,CHI,SJS,1
201301290SJS,SJS,ANA,1
201301270SJS,SJS,VAN,7
201303270SJS,SJS,ANA,5
201302150CHI,CHI,SJS,6
201304240PHX,PHX,SJS,0
201303060CGY,CGY,SJS,0
201303140SJS,SJS,LAK,2
201303280SJS,SJS,DET,0
201302120NSH,NSH,SJS,0
201303090SJS,STL,SJS,0
201302110CBJ,CBJ,SJS,5
201302020SJS,NSH,SJS,0
201302230DAL,DAL,SJS,2
201304010SJS,SJS,VAN,2
201303180ANA,ANA,SJS,2
201303100COL,COL,SJS,0
201302050SJS,CHI,SJS,2
201301200CGY,SJS,CGY,2
201302190STL,SJS,STL,3
201301220EDM,SJS,EDM,2
201304130DAL,DAL,SJS,1
201302260SJS,SJS,COL,0
201304050SJS,SJS,CGY,0
201303120STL,STL,SJS,2
201303200EDM,SJS,EDM,2
201301310SJS,SJS,EDM,0
201303020SJS,SJS,NSH,0
201302280SJS,DET,SJS,1
201304030SJS,SJS,MIN,1
201304090CBJ,CBJ,SJS,0
201304160SJS,SJS,LAK,5
201301260SJS,SJS,COL,3
201303230MIN,MIN,SJS,2
201304180SJS,SJS,MIN,2
