game_id,winner,loser,num_penalties
201305120NYR,NYR,WSH,3
201305170PIT,PIT,OTT,2
201306020CHI,CHI,LAK,2
201305100BOS,TOR,BOS,2
201305160LAK,LAK,SJS,1
201305070OTT,OTT,MTL,2
201305030CHI,CHI,MIN,1
201306040LAK,LAK,CHI,2
201305070SJS,SJS,VAN,1
201305020WSH,WSH,NYR,2
201306170BOS,BOS,CHI,6
201305180SJS,SJS,LAK,3
201305090CHI,CHI,MIN,2
201304300ANA,ANA,DET,0
201306220CHI,CHI,BOS,3
201305280LAK,LAK,SJS,0
201305140LAK,LAK,SJS,0
201305100LAK,LAK,STL,0
201305070MIN,CHI,MIN,0
201305200DET,DET,CHI,3
201305080NYR,NYR,WSH,1
201305210NYR,BOS,NYR,1
201306080CHI,CHI,LAK,0
201305130BOS,BOS,TOR,4
201305060LAK,LAK,STL,1
201305010PIT,PIT,NYI,0
201305040LAK,LAK,STL,2
201305090PIT,PIT,NYI,5
201304300CHI,CHI,MIN,0
201305040BOS,TOR,BOS,3
201305050MIN,MIN,CHI,3
201306150CHI,BOS,CHI,0
201305080ANA,ANA,DET,2
201305250CHI,CHI,DET,3
201305020MTL,OTT,MTL,0
201306060LAK,CHI,LAK,0
201306010CHI,CHI,LAK,1
201306010PIT,BOS,PIT,3
201305140PIT,PIT,OTT,2
201305270DET,CHI,DET,1
201305050NYI,PIT,NYI,2
201305110NYI,PIT,NYI,0
201305250BOS,BOS,NYR,2
201305040WSH,WSH,NYR,2
201305050OTT,OTT,MTL,12
201305050SJS,SJS,VAN,4
201305080TOR,BOS,TOR,1
201304300STL,STL,LAK,2
201305030PIT,NYI,PIT,3
201305180CHI,DET,CHI,2
201306240BOS,CHI,BOS,1
201305210SJS,SJS,LAK,1
201305080STL,LAK,STL,0
201305150CHI,CHI,DET,2
201306070BOS,BOS,PIT,2
201305010VAN,SJS,VAN,3
201305230LAK,LAK,SJS,1
201305290CHI,CHI,DET,2
201305220OTT,PIT,OTT,0
201305160BOS,BOS,NYR,0
201305060NYR,NYR,WSH,2
201305230NYR,NYR,BOS,0
201305260SJS,SJS,LAK,0
201306190BOS,CHI,BOS,2
201305020ANA,DET,ANA,1
201306050BOS,BOS,PIT,4
201306030PIT,BOS,PIT,0
201305090MTL,OTT,MTL,3
201305120ANA,DET,ANA,2
201305130WSH,NYR,WSH,1
201305100WSH,WSH,NYR,0
201305070NYI,NYI,PIT,3
201305120TOR,TOR,BOS,0
201306120CHI,CHI,BOS,0
201305020STL,STL,LAK,0
201305240PIT,PIT,OTT,1
201305060TOR,BOS,TOR,0
201305190OTT,OTT,PIT,1
201305230DET,DET,CHI,2
201305040DET,ANA,DET,2
201305030MTL,MTL,OTT,3
201305030VAN,SJS,VAN,2
201305060DET,DET,ANA,0
201305010BOS,BOS,TOR,5
201305190BOS,BOS,NYR,6
201305100DET,DET,ANA,0
