game_id,winner,loser,num_penalties
201403300EDM,NYR,EDM,2
201403110MIN,EDM,MIN,0
201403280EDM,EDM,ANA,7
201312190COL,COL,EDM,0
201310240EDM,WSH,EDM,2
201401120CHI,CHI,EDM,0
201403220EDM,CGY,EDM,4
201403040EDM,EDM,OTT,2
201401260EDM,EDM,NSH,0
201310170NYI,NYI,EDM,0
201312170LAK,LAK,EDM,0
201311020EDM,DET,EDM,3
201312070EDM,CGY,EDM,1
201311070TBL,TBL,EDM,1
201401140DAL,DAL,EDM,2
201310070EDM,EDM,NJD,2
201310010EDM,WPG,EDM,4
201310260PHX,PHX,EDM,1
201312230EDM,EDM,WPG,2
201310270LAK,LAK,EDM,4
201403060EDM,EDM,NYI,2
201311150EDM,SJS,EDM,0
201401290EDM,EDM,SJS,4
201310190OTT,EDM,OTT,1
201311210EDM,EDM,FLA,4
201403250EDM,SJS,EDM,0
201401180WPG,WPG,EDM,2
201404100EDM,LAK,EDM,1
201402010BOS,BOS,EDM,5
201403090EDM,LAK,EDM,1
201312050EDM,EDM,COL,3
201401050EDM,EDM,TBL,0
201312120EDM,BOS,EDM,2
201312030EDM,PHX,EDM,4
201311290CBJ,CBJ,EDM,0
201310220MTL,EDM,MTL,5
201310050VAN,VAN,EDM,12
201402270EDM,MIN,EDM,8
201310290EDM,TOR,EDM,1
201401270VAN,EDM,VAN,2
201311190EDM,EDM,CBJ,2
201403180EDM,EDM,NSH,1
201312270CGY,EDM,CGY,0
201310120TOR,TOR,EDM,0
201312280EDM,PHI,EDM,0
201401030ANA,ANA,EDM,0
201310150PIT,PIT,EDM,0
201312150ANA,ANA,EDM,0
201312210EDM,STL,EDM,3
201312310PHX,PHX,EDM,0
201404010SJS,SJS,EDM,6
201404020ANA,ANA,EDM,6
201401070EDM,STL,EDM,0
201403130STL,STL,EDM,6
201403200EDM,BUF,EDM,5
201311050FLA,EDM,FLA,0
201402070NJD,NJD,EDM,0
201311100CHI,CHI,EDM,1
201402030BUF,EDM,BUF,1
201401240EDM,PHX,EDM,3
201404040PHX,EDM,PHX,0
201310100EDM,MTL,EDM,2
201310140WSH,WSH,EDM,4
201401210EDM,VAN,EDM,2
201401100EDM,EDM,PIT,2
201403010EDM,CGY,EDM,4
201401160MIN,MIN,EDM,2
201404060EDM,EDM,ANA,6
201404120EDM,EDM,VAN,2
201404080EDM,COL,EDM,0
201311280NSH,EDM,NSH,2
201401020SJS,SJS,EDM,0
201312010DAL,EDM,DAL,0
201312130VAN,VAN,EDM,1
201403160CAR,EDM,CAR,2
201312100EDM,EDM,CAR,2
201311090PHI,PHI,EDM,5
201403140DET,DET,EDM,2
201402060NYR,EDM,NYR,0
201311130EDM,DAL,EDM,0
201311160CGY,EDM,CGY,5
201311250EDM,CHI,EDM,0
