game_id,winner,loser,num_penalties
201506060TBL,TBL,CHI,0
201506100CHI,CHI,TBL,0
201505030MTL,TBL,MTL,4
201505180NYR,TBL,NYR,3
201504230DET,TBL,DET,4
201506150CHI,CHI,TBL,1
201505290NYR,TBL,NYR,0
201504270DET,TBL,DET,8
201504160TBL,DET,TBL,0
201505220TBL,NYR,TBL,2
201505070TBL,MTL,TBL,3
201504250TBL,DET,TBL,0
201505160NYR,NYR,TBL,0
201505120TBL,TBL,MTL,0
201506080CHI,TBL,CHI,1
201506130TBL,CHI,TBL,0
201506030TBL,CHI,TBL,0
201505200TBL,TBL,NYR,1
201505090MTL,MTL,TBL,4
201504210DET,DET,TBL,1
201505010MTL,TBL,MTL,0
201505240NYR,TBL,NYR,0
201505060TBL,TBL,MTL,0
201504290TBL,TBL,DET,0
201504180TBL,TBL,DET,2
201505260TBL,NYR,TBL,0
