game_id,winner,loser,num_penalties
201412270MIN,WPG,MIN,2
201501150DAL,WPG,DAL,0
201503140TBL,WPG,TBL,4
201502140DET,WPG,DET,1
201412210WPG,PHI,WPG,0
201501180WPG,WPG,ARI,2
201503260WPG,WPG,MTL,4
201410190WPG,CGY,WPG,2
201412050WPG,WPG,COL,4
201502020CGY,CGY,WPG,2
201412310WPG,NYI,WPG,1
201411110MTL,MTL,WPG,1
201503290WPG,CHI,WPG,0
201503230EDM,WPG,EDM,2
201410120LAK,LAK,WPG,4
201504040WPG,WPG,VAN,2
201502160WPG,WPG,EDM,2
201502210TOR,TOR,WPG,7
201503070NSH,WPG,NSH,1
201411180WPG,WPG,NJD,0
201410300NJD,NJD,WPG,0
201501210WPG,WPG,CBJ,0
201501050WPG,SJS,WPG,0
201504070STL,WPG,STL,4
201411160MIN,MIN,WPG,5
201412230CHI,WPG,CHI,2
201503100STL,STL,WPG,7
201412030WPG,WPG,EDM,2
201412190WPG,WPG,BOS,0
201412130WPG,ANA,WPG,1
201410110SJS,SJS,WPG,3
201503010WPG,WPG,LAK,8
201501080ARI,ARI,WPG,2
201411200WPG,DET,WPG,0
201503120FLA,FLA,WPG,0
201504060MIN,WPG,MIN,2
201412160WPG,WPG,BUF,2
201502030VAN,VAN,WPG,4
201411130CAR,WPG,CAR,0
201412070WPG,ANA,WPG,1
201411150NSH,NSH,WPG,0
201501130WPG,WPG,FLA,1
201412110COL,COL,WPG,2
201503040WPG,OTT,WPG,1
201411260BUF,WPG,BUF,5
201502080WPG,WPG,COL,4
201502260WPG,STL,WPG,2
201411080OTT,WPG,OTT,3
201502240WPG,WPG,DAL,0
201410170WPG,NSH,WPG,2
201501310WPG,DAL,WPG,7
201501160CHI,WPG,CHI,4
201502060WPG,CHI,WPG,4
201501100LAK,WPG,LAK,2
201502190WSH,WSH,WPG,1
201504090COL,COL,WPG,1
201411230WPG,STL,WPG,1
201504110WPG,WPG,CGY,0
201410210WPG,WPG,CAR,1
201503210WPG,WPG,WSH,2
201501270PIT,PIT,WPG,2
201412290WPG,MIN,WPG,1
201410260WPG,WPG,COL,2
201410240WPG,TBL,WPG,3
201503190WPG,WPG,STL,4
201410090ARI,WPG,ARI,5
201411020CHI,WPG,CHI,1
201503240VAN,VAN,WPG,0
201501110ANA,ANA,WPG,6
201412090DAL,WPG,DAL,2
201411040WPG,WPG,NSH,3
201503170WPG,WPG,SJS,2
201503310WPG,NYR,WPG,0
201502120NSH,NSH,WPG,0
201410280NYI,WPG,NYI,2
201411280BOS,BOS,WPG,1
201502100WPG,WPG,MIN,0
201501290PHI,PHI,WPG,3
201411010NYR,WPG,NYR,0
201411060WPG,PIT,WPG,10
201501030WPG,WPG,TOR,2
201411250CBJ,WPG,CBJ,3
