game_id,winner,loser,num_penalties
201510220SJS,LAK,SJS,2
201512060LAK,LAK,TBL,1
201510310LAK,LAK,NSH,0
201603050LAK,ANA,LAK,6
201512120BUF,BUF,LAK,0
201604040VAN,VAN,LAK,0
201603210NSH,NSH,LAK,0
201511050LAK,CBJ,LAK,11
201601070LAK,LAK,TOR,2
201510090LAK,ARI,LAK,3
201601090LAK,STL,LAK,2
201601160LAK,OTT,LAK,0
201511220CAR,CAR,LAK,2
201604020LAK,DAL,LAK,2
201511280LAK,LAK,CHI,0
201604050CGY,LAK,CGY,0
201510130LAK,VAN,LAK,2
201601040COL,COL,LAK,2
201602120NYR,LAK,NYR,0
201512190TOR,TOR,LAK,0
201603280SJS,SJS,LAK,2
201602160WSH,WSH,LAK,2
201511070LAK,LAK,FLA,0
201602280ANA,ANA,LAK,1
201511020CHI,CHI,LAK,2
201510270WPG,LAK,WPG,0
201602110NYI,NYI,LAK,0
201603190LAK,LAK,BOS,2
201601270LAK,COL,LAK,1
201602040LAK,ANA,LAK,2
201512080CBJ,LAK,CBJ,1
201510180LAK,LAK,COL,4
201512170MTL,LAK,MTL,0
201601020LAK,LAK,PHI,0
201602180STL,STL,LAK,4
201603030LAK,LAK,MTL,5
201510250EDM,LAK,EDM,2
201512310CGY,LAK,CGY,2
201601240SJS,LAK,SJS,1
201602140NJD,NJD,LAK,0
201604090LAK,WPG,LAK,0
201602230LAK,LAK,CGY,0
201510230LAK,LAK,CAR,0
201603260LAK,LAK,EDM,2
201603220MIN,MIN,LAK,1
201603240WPG,WPG,LAK,2
201602250LAK,LAK,EDM,0
201601210LAK,MIN,LAK,0
201603120LAK,NJD,LAK,0
201603310LAK,LAK,CGY,0
201512280VAN,LAK,VAN,9
201512140OTT,OTT,LAK,0
201512220LAK,SJS,LAK,3
201603070LAK,LAK,VAN,2
201511170PHI,LAK,PHI,1
201602020ARI,LAK,ARI,3
201603170LAK,LAK,NYR,1
201604070LAK,LAK,ANA,4
201511230FLA,LAK,FLA,1
201512050LAK,LAK,PIT,0
201511030STL,LAK,STL,2
201601230ARI,ARI,LAK,1
201511250TBL,TBL,LAK,0
201512290EDM,LAK,EDM,2
201512110PIT,LAK,PIT,1
201602090BOS,LAK,BOS,4
201601190LAK,LAK,DAL,0
201510160LAK,LAK,MIN,0
201512260ARI,LAK,ARI,3
201603090LAK,LAK,WSH,4
201511200DET,DET,LAK,0
201602200NSH,LAK,NSH,3
201511100LAK,ARI,LAK,0
201603140CHI,LAK,CHI,0
201601170ANA,LAK,ANA,4
201602270LAK,LAK,BUF,1
201601110LAK,LAK,DET,0
201511140LAK,LAK,EDM,0
201511120LAK,LAK,NYI,0
201510070LAK,SJS,LAK,8
201512010LAK,LAK,VAN,0
201603150DAL,LAK,DAL,1
