game_id,winner,loser,num_penalties
201604290SJS,SJS,NSH,6
201605030NSH,NSH,SJS,2
201605250SJS,SJS,STL,0
201605190SJS,SJS,STL,0
201604200SJS,SJS,LAK,2
201604220LAK,SJS,LAK,0
201605010SJS,SJS,NSH,1
201606040SJS,SJS,PIT,0
201605090NSH,NSH,SJS,2
201605170STL,SJS,STL,0
201605230STL,SJS,STL,6
201605070SJS,SJS,NSH,1
201606010PIT,PIT,SJS,0
201604180SJS,LAK,SJS,2
201606060SJS,PIT,SJS,0
201605300PIT,PIT,SJS,1
201606120SJS,PIT,SJS,0
201604140LAK,SJS,LAK,0
201605210SJS,STL,SJS,4
201605150STL,STL,SJS,0
201604160LAK,SJS,LAK,2
201605050NSH,NSH,SJS,2
201606090PIT,SJS,PIT,2
201605120SJS,SJS,NSH,0
