game_id,winner,loser,num_penalties
201705050STL,STL,NSH,0
201706050NSH,NSH,PIT,1
201704260STL,NSH,STL,1
201704170NSH,NSH,CHI,0
201704200NSH,NSH,CHI,0
201705070NSH,NSH,STL,0
201705120ANA,NSH,ANA,2
201705220NSH,NSH,ANA,0
201705160NSH,NSH,ANA,2
201705290PIT,PIT,NSH,1
201705200ANA,NSH,ANA,5
201705310PIT,PIT,NSH,2
201704150CHI,NSH,CHI,1
201706080PIT,PIT,NSH,5
201705140ANA,ANA,NSH,0
201705020NSH,NSH,STL,4
201705180NSH,ANA,NSH,0
201704130CHI,NSH,CHI,0
201706030NSH,NSH,PIT,3
201706110NSH,PIT,NSH,1
201704300NSH,NSH,STL,1
201704280STL,STL,NSH,0
