game_id,winner,loser,num_penalties
201903290PIT,NSH,PIT,0
201810130NSH,NSH,NYI,0
201901100CBJ,CBJ,NSH,0
201812170OTT,OTT,NSH,2
201902120NSH,DET,NSH,1
201902090STL,STL,NSH,2
201902100NSH,STL,NSH,2
201903120ANA,ANA,NSH,0
201812150NSH,NSH,NJD,0
201903160SJS,NSH,SJS,3
201904040NSH,NSH,VAN,0
201901040DET,DET,NSH,2
201902070NSH,NSH,DAL,1
201812130NSH,NSH,VAN,0
201811250NSH,NSH,ANA,4
201811170NSH,NSH,LAK,2
201812110NSH,NSH,OTT,0
201902230NSH,COL,NSH,1
201810150NSH,NSH,MIN,2
201901230VEG,NSH,VEG,1
201811030NSH,NSH,BOS,0
201901010NSH,NSH,PHI,0
201901210COL,NSH,COL,4
201901130CAR,CAR,NSH,2
201811230STL,STL,NSH,5
201810200EDM,NSH,EDM,0
201902010FLA,NSH,FLA,0
201901050MTL,NSH,MTL,0
201811150ARI,ARI,NSH,0
201812010NSH,NSH,CHI,5
201811120ANA,ANA,NSH,2
201904020BUF,NSH,BUF,0
201812270NSH,DAL,NSH,0
201812060VAN,VAN,NSH,0
201811130SJS,SJS,NSH,0
201902160VEG,VEG,NSH,0
201903090NSH,CAR,NSH,0
201812030NSH,NSH,BUF,0
201901150NSH,NSH,WSH,2
201812180CHI,CHI,NSH,0
201810300NSH,NSH,VEG,0
201901170NSH,WPG,NSH,0
201902190DAL,NSH,DAL,0
201903030MIN,NSH,MIN,0
201811210NSH,NSH,STL,2
201902250NSH,NSH,EDM,0
201903190NSH,NSH,TOR,0
201812290NSH,NYR,NSH,0
201901090CHI,NSH,CHI,0
201811290NSH,ARI,NSH,3
201903140LAK,NSH,LAK,0
201812080CGY,CGY,NSH,0
201903300NSH,CBJ,NSH,1
201902210NSH,NSH,LAK,2
201903050NSH,NSH,MIN,0
201901190NSH,FLA,NSH,1
201904060NSH,NSH,CHI,0
201812310WSH,NSH,WSH,1
201810190CGY,NSH,CGY,0
201902050NSH,NSH,ARI,0
201811100DAL,NSH,DAL,0
201810060NYI,NSH,NYI,0
201812220BOS,BOS,NSH,1
201810110NSH,NSH,WPG,7
201903230WPG,WPG,NSH,0
201810270NSH,EDM,NSH,2
201903010WPG,WPG,NSH,0
201810250NJD,NSH,NJD,0
201902260STL,STL,NSH,3
201811010TBL,NSH,TBL,0
201903250MIN,NSH,MIN,4
201811070COL,NSH,COL,0
201810040NYR,NSH,NYR,0
201901070TOR,NSH,TOR,0
201903210NSH,PIT,NSH,0
201902140NSH,NSH,MTL,0
201811270NSH,COL,NSH,0
201902020NSH,DAL,NSH,4
201811190NSH,NSH,TBL,0
201810090NSH,CGY,NSH,0
201810230NSH,SJS,NSH,0
201812200PHI,PHI,NSH,0
