game_id,winner,loser,num_penalties
201812270TBL,TBL,PHI,4
201901120BUF,TBL,BUF,1
201810240COL,TBL,COL,2
201901300PIT,PIT,TBL,6
201904060BOS,TBL,BOS,1
201811210TBL,TBL,FLA,0
201902180CBJ,TBL,CBJ,2
201810180TBL,TBL,DET,3
201901150DAL,TBL,DAL,0
201902270NYR,TBL,NYR,4
201901130NYI,NYI,TBL,0
201903200WSH,TBL,WSH,5
201901170TBL,TOR,TBL,0
201902010NYI,TBL,NYI,0
201810160TBL,TBL,CAR,0
201812130TBL,TBL,TOR,2
201901050SJS,SJS,TBL,0
201812060TBL,TBL,BOS,0
201904020MTL,MTL,TBL,0
201902020NYR,TBL,NYR,0
201810200MIN,MIN,TBL,2
201811230TBL,TBL,CHI,0
201812040DET,TBL,DET,0
201902210TBL,TBL,BUF,5
201902100FLA,TBL,FLA,0
201811170PHI,TBL,PHI,2
201901100TBL,TBL,CAR,0
201901030LAK,TBL,LAK,4
201811250TBL,TBL,NJD,0
201903070TBL,MIN,TBL,0
201811040OTT,TBL,OTT,0
201902090TBL,TBL,PIT,6
201811290TBL,TBL,BUF,0
201902050TBL,VEG,TBL,0
201810060TBL,TBL,FLA,0
201902250TBL,TBL,LAK,0
201903110TOR,TBL,TOR,0
201902070TBL,STL,TBL,0
201904040TOR,TBL,TOR,0
201812100TBL,TBL,NYR,3
201812220EDM,TBL,EDM,6
201903300TBL,WSH,TBL,5
201812310ANA,TBL,ANA,1
201903180TBL,TBL,ARI,1
201811030MTL,TBL,MTL,0
201902120TBL,TBL,CGY,1
201812290TBL,TBL,MTL,0
201902280BOS,BOS,TBL,2
201903160TBL,TBL,WSH,1
201902190PHI,TBL,PHI,1
201901080TBL,TBL,CBJ,0
201810110TBL,VAN,TBL,0
201810210CHI,TBL,CHI,2
201903230STL,STL,TBL,0
201812200CGY,TBL,CGY,0
201903020TBL,TBL,OTT,2
201903140DET,TBL,DET,0
201810270ARI,ARI,TBL,1
201904010OTT,TBL,OTT,2
201810300TBL,TBL,NJD,2
201903210CAR,TBL,CAR,1
201811010TBL,NSH,TBL,0
201902160TBL,TBL,MTL,4
201810130TBL,TBL,CBJ,3
201903250TBL,TBL,BOS,0
201811060TBL,TBL,EDM,1
201811130BUF,BUF,TBL,0
201810260VEG,TBL,VEG,0
201812030NJD,TBL,NJD,3
201811190NSH,NSH,TBL,0
201902140TBL,TBL,DAL,2
201903050TBL,TBL,WPG,3
201812080TBL,TBL,COL,2
201811080TBL,TBL,NYI,0
201811150PIT,TBL,PIT,2
201903090TBL,TBL,DET,2
201812010FLA,TBL,FLA,1
201811270TBL,ANA,TBL,0
201812180VAN,TBL,VAN,11
201901190TBL,TBL,SJS,1
201811100TBL,OTT,TBL,0
201812160WPG,WPG,TBL,0
