game_id,winner,loser,num_penalties
201812090VEG,VEG,DAL,1
201810130PHI,VEG,PHI,0
201903060VEG,VEG,CGY,5
201903150DAL,VEG,DAL,0
201902200VEG,BOS,VEG,0
201810200VEG,VEG,ANA,0
201903100CGY,CGY,VEG,1
201901010VEG,VEG,LAK,0
201901100VEG,SJS,VEG,0
201811160VEG,STL,VEG,1
201811290VAN,VEG,VAN,0
201903010ANA,VEG,ANA,0
201903230VEG,DET,VEG,1
201903170VEG,VEG,EDM,0
201811140VEG,VEG,ANA,0
201812060VEG,VEG,CHI,0
201903180SJS,VEG,SJS,1
201901230VEG,NSH,VEG,1
201811100MTL,MTL,VEG,0
201812120NYI,VEG,NYI,0
201902220VEG,WPG,VEG,0
201902260VEG,VEG,DAL,1
201904040VEG,ARI,VEG,1
201902180COL,COL,VEG,0
201903270COL,COL,VEG,3
201811190CGY,CGY,VEG,1
201811060TOR,TOR,VEG,0
201903210VEG,VEG,WPG,2
201812010EDM,EDM,VEG,0
201810100WSH,WSH,VEG,0
201903290VEG,MIN,VEG,0
201810080BUF,BUF,VEG,0
201902020FLA,FLA,VEG,0
201901190VEG,VEG,PIT,0
201902050TBL,VEG,TBL,0
201812080LAK,LAK,VEG,1
201902120VEG,ARI,VEG,0
201810240VEG,VAN,VEG,0
201902160VEG,VEG,NSH,0
201902140VEG,TOR,VEG,0
201903030VEG,VEG,VAN,1
201811210ARI,VEG,ARI,0
201810300NSH,NSH,VEG,0
201812040VEG,VEG,WSH,0
201903250STL,STL,VEG,0
201811240VEG,VEG,SJS,4
201812290LAK,VEG,LAK,0
201901120CHI,VEG,CHI,0
201811010STL,STL,VEG,2
201902070DET,VEG,DET,0
201812270VEG,VEG,COL,0
201902090VEG,CBJ,VEG,1
201902280VEG,VEG,FLA,1
201810280VEG,VEG,OTT,2
201812220VEG,MTL,VEG,0
201810040VEG,PHI,VEG,2
201811230VEG,VEG,CGY,2
201810160VEG,VEG,BUF,0
201812140NJD,NJD,VEG,0
201903090VAN,VEG,VAN,0
201901150WPG,WPG,VEG,1
201812300ARI,VEG,ARI,1
201901210VEG,MIN,VEG,0
201904060LAK,LAK,VEG,0
201902010CAR,CAR,VEG,0
201901080VEG,VEG,NYR,2
201812200VEG,VEG,NYI,1
201812160NYR,VEG,NYR,0
201811270CHI,VEG,CHI,0
201810110PIT,PIT,VEG,0
201811180EDM,VEG,EDM,0
201811110BOS,BOS,VEG,1
201901060VEG,VEG,NJD,0
201811080OTT,VEG,OTT,2
201903300SJS,SJS,VEG,5
201810260VEG,TBL,VEG,0
201812170CBJ,CBJ,VEG,0
201812230VEG,LAK,VEG,0
201811030VEG,VEG,CAR,0
201904010VEG,VEG,EDM,0
201810060MIN,VEG,MIN,3
201901040ANA,VEG,ANA,0
