game_id,winner,loser,num_penalties
199910090ATL,BUF,BUF,2
199912180CAR,CAR,ATL,0
200004090CAR,CAR,ATL,0
200001170BOS,ATL,ATL,4
199910170NYR,NYR,ATL,3
200002250EDM,EDM,ATL,2
199911100FLA,FLA,ATL,4
200004080ATL,CAR,ATL,0
199910070ATL,DET,ATL,3
200003130ATL,EDM,ATL,2
199911200BUF,BUF,ATL,3
200003290ATL,PHX,ATL,1
199910020ATL,NJD,ATL,9
200001160NYR,NYR,ATL,1
200003120CAR,CAR,ATL,6
200001310ATL,PIT,ATL,6
199911030ATL,ATL,TBL,0
200002120ATL,CHI,ATL,4
199911170ATL,ATL,TBL,7
199910140NYI,ATL,NYI,0
200002160ATL,MTL,ATL,3
200001120ATL,WSH,ATL,5
199912060ATL,NSH,ATL,2
200001080WSH,WSH,ATL,11
200001270PIT,PIT,ATL,4
200001210ATL,FLA,FLA,11
200001010ATL,CAR,ATL,3
199911190ATL,BUF,ATL,8
200003240ATL,PIT,ATL,2
199912120MDA,MDA,ATL,7
200002290ATL,TOR,ATL,1
200003020ATL,STL,ATL,3
200001240ATL,NYR,ATL,5
199911250ATL,OTT,ATL,2
200004020ATL,ATL,NYI,4
199912030ATL,ATL,FLA,3
200002110ATL,SJS,ATL,7
200001140ATL,ATL,PHI,2
200003310NJD,NJD,ATL,4
199911130MTL,MTL,ATL,2
199912300NSH,NSH,ATL,4
199912040NYI,ATL,NYI,0
199912170ATL,BOS,ATL,8
200004040ATL,PHI,ATL,2
199910230ATL,COL,ATL,5
199912100SJS,SJS,ATL,4
199911060BOS,BOS,ATL,6
200003100ATL,NJD,ATL,2
200004060PHI,PHI,ATL,2
200001290TBL,TBL,ATL,9
200002260CGY,CGY,ATL,4
200003220ATL,MTL,MTL,1
200003060MTL,MTL,ATL,7
199911120NJD,NJD,ATL,7
200003280WSH,WSH,ATL,3
200002150STL,STL,ATL,0
200002020DAL,DAL,ATL,0
199912080LAK,LAK,ATL,0
199910270TOR,TOR,ATL,2
200003180TOR,ATL,TOR,1
200003260ATL,LAK,ATL,0
199912270DET,DET,ATL,0
200002030ATL,NYR,ATL,3
199910160TBL,ATL,ATL,4
199912150ATL,WSH,ATL,2
200002200PHX,PHX,ATL,4
199911280ATL,DAL,ATL,4
199912260ATL,ATL,TBL,3
199910260ATL,ATL,CGY,4
199910310ATL,OTT,ATL,2
199911270FLA,FLA,ATL,4
200001060ATL,ATL,WSH,0
200003160ATL,NYI,ATL,3
200002220COL,ATL,COL,10
199912230PHI,ATL,ATL,0
200001040BUF,ATL,BUF,2
199912220FLA,ATL,ATL,2
200002090PIT,PIT,ATL,5
200001190ATL,BOS,ATL,3
200003040OTT,OTT,ATL,3
199911220ATL,ATL,VAN,4
200003210OTT,OTT,ATL,1
