game_id,winner,loser,num_penalties
200001290FLA,FLA,EDM,2
200001310DAL,DAL,EDM,1
200002250EDM,EDM,ATL,2
199911210EDM,NYI,NYI,0
200002020EDM,EDM,CHI,6
200003130ATL,EDM,ATL,2
200003190EDM,CGY,EDM,7
199912210EDM,EDM,WSH,4
199911140CHI,EDM,CHI,6
200001110EDM,DAL,EDM,0
199912060CHI,CHI,EDM,7
200001280TBL,EDM,TBL,5
199910130EDM,CAR,CAR,1
200004010EDM,EDM,PHX,6
200004070VAN,EDM,VAN,0
200003040EDM,PIT,EDM,2
200001190EDM,EDM,CGY,6
200001070EDM,EDM,TBL,10
199912270EDM,EDM,MDA,3
199912140NYI,EDM,NYI,6
199912110NJD,EDM,NJD,0
199912300LAK,LAK,EDM,15
199911270TOR,TOR,EDM,2
199911090LAK,EDM,EDM,6
199910200DAL,DAL,EDM,1
199910260EDM,EDM,PHX,0
200003150CAR,EDM,EDM,4
199910060EDM,EDM,MTL,0
199910070SJS,SJS,EDM,1
200003100EDM,COL,EDM,2
199910160EDM,EDM,LAK,0
199912150DET,DET,EDM,2
199912010EDM,EDM,COL,6
199912090BOS,EDM,EDM,7
200003220EDM,EDM,MDA,3
200002210EDM,EDM,LAK,4
200001160EDM,DET,DET,6
199910310EDM,EDM,NSH,3
199911240EDM,CHI,EDM,0
200003270SJS,EDM,SJS,0
200002180CGY,CGY,EDM,4
199912230CGY,CGY,EDM,5
200004030EDM,SJS,EDM,5
200002270MDA,MDA,EDM,0
199911070MDA,MDA,EDM,5
199911030EDM,FLA,FLA,4
199911260DET,DET,EDM,0
199910090EDM,STL,EDM,3
199912020VAN,VAN,EDM,0
199911100PHX,PHX,EDM,6
199911050EDM,STL,EDM,3
200001220EDM,VAN,VAN,0
199912080NYR,NYR,EDM,6
199910230NSH,NSH,EDM,0
199911200EDM,EDM,DET,3
200002290COL,EDM,COL,4
200002080MTL,EDM,MTL,1
200003250EDM,VAN,EDM,2
199912170EDM,DAL,DAL,5
200001250VAN,EDM,VAN,3
200004050EDM,COL,EDM,4
200002110PIT,EDM,EDM,5
200003170EDM,EDM,OTT,3
199910010EDM,NYR,NYR,2
199910210STL,STL,EDM,0
199912040EDM,EDM,VAN,8
200001240EDM,NSH,EDM,1
200001010PHX,EDM,PHX,2
200003120NSH,NSH,EDM,5
200002230EDM,EDM,BOS,0
200003290COL,COL,EDM,4
200001140EDM,TOR,EDM,2
200003070EDM,TOR,EDM,4
200001050EDM,SJS,SJS,3
200002150NSH,EDM,NSH,1
200002190EDM,CGY,EDM,6
200004080CGY,EDM,CGY,4
199911120STL,EDM,EDM,2
200001030COL,EDM,EDM,0
199912190EDM,OTT,OTT,2
200002100PHI,EDM,PHI,4
200002130BUF,EDM,EDM,0
