game_id,winner,loser,num_penalties
199911110LAK,LAK,COL,2
200003170LAK,STL,LAK,1
199910220LAK,PHX,LAK,0
200002030LAK,LAK,DET,6
199911020PIT,LAK,PIT,0
200003190LAK,NSH,LAK,0
200003040LAK,LAK,NSH,0
199911230COL,LAK,COL,5
199912290COL,COL,LAK,4
200002190BUF,BUF,LAK,0
199912150NYR,NYR,LAK,4
199912180LAK,CHI,LAK,8
200003110LAK,LAK,CGY,10
199911240DAL,DAL,LAK,6
199910280LAK,LAK,PIT,3
199912100DET,DET,LAK,3
200001030DAL,DAL,LAK,1
200004050VAN,LAK,LAK,5
200001230LAK,LAK,COL,1
199911200LAK,MTL,LAK,0
200001060LAK,LAK,FLA,0
199910020NSH,LAK,NSH,0
199912300LAK,LAK,EDM,15
200003210LAK,MDA,LAK,2
200002110LAK,LAK,DAL,3
199911030DET,LAK,LAK,2
200001150SJS,SJS,LAK,2
200003070LAK,DET,LAK,1
199911090LAK,EDM,EDM,6
199910040STL,LAK,STL,2
200001130LAK,STL,LAK,4
199911180LAK,PHX,LAK,4
200003290LAK,SJS,SJS,3
199910200LAK,BOS,BOS,3
200003020LAK,CAR,LAK,3
199910160EDM,EDM,LAK,0
200001260DAL,DAL,LAK,2
200001270NSH,LAK,NSH,0
199910240LAK,LAK,SJS,13
200002160CHI,LAK,CHI,1
200002210EDM,EDM,LAK,4
200002080LAK,MDA,LAK,0
199912260LAK,PHX,LAK,12
199912110MTL,LAK,MTL,13
200002090PHX,LAK,PHX,3
199910060FLA,FLA,LAK,1
200003230PHI,LAK,PHI,0
200003090LAK,LAK,NYR,0
199912030MDA,LAK,LAK,4
199910300CHI,LAK,CHI,4
199912040LAK,TBL,TBL,8
199912220SJS,SJS,LAK,1
200004090MDA,LAK,MDA,0
200001200LAK,DAL,LAK,7
200001180LAK,LAK,BUF,2
199911060LAK,PHI,LAK,6
200002250VAN,LAK,VAN,0
199912080LAK,LAK,ATL,0
200003250BOS,LAK,LAK,0
200004030PHX,PHX,LAK,0
200003260ATL,LAK,ATL,0
199911270LAK,LAK,SJS,4
200002260SJS,SJS,LAK,7
200001110LAK,OTT,LAK,2
199910260LAK,LAK,WSH,4
200001310LAK,LAK,NYI,4
199910090WSH,LAK,LAK,4
200004070LAK,LAK,DAL,1
200002180DET,LAK,DET,3
200003150MDA,LAK,LAK,2
200002140LAK,LAK,CGY,0
200004010LAK,LAK,MDA,0
200001040STL,LAK,LAK,0
199912140NJD,NJD,LAK,5
200002290LAK,VAN,VAN,0
199910070TBL,LAK,TBL,6
199911160LAK,LAK,CHI,4
200003130LAK,LAK,VAN,2
199911140PHX,LAK,PHX,1
199910150CGY,LAK,CGY,4
200001290TOR,TOR,LAK,0
200002230CGY,LAK,CGY,2
